"state_abb","DATE","PRCP","SNOW","TMAX","TMIN","Fog","HeavyFog","Thunder","Sleet","Hail","Glaze","Dust","Smoke","DriftSnow","Winds","Mist","Drizzle","Rain","FrzRain","Snow","UnknownPrec","IceFog","State","Demand.Loss..MW.","Date.of.Restoration","Event.Type","Region","Month","dayName","Weekend","Blackout","Season"
"CA",2008-02-03,0.07,0,58,43,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"California",NA,NA,NA,NA,"Feb","Sunday",1,0,"Winter"
"CA",2008-02-04,0,0,54,37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"California",NA,NA,NA,NA,"Feb","Monday",0,0,"Winter"
"CA",2008-02-05,0,0,55,35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"California",NA,NA,NA,NA,"Feb","Tuesday",0,0,"Winter"
"CA",2008-02-06,0,0,58,39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"California",NA,NA,NA,NA,"Feb","Wednesday",0,0,"Winter"
"CA",2008-02-07,0,0,60,38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"California",NA,NA,NA,NA,"Feb","Thursday",0,0,"Winter"
"CA",2008-02-08,0,0,62,38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"California",NA,NA,NA,NA,"Feb","Friday",0,0,"Winter"
"CA",2008-02-09,0,0,66,38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"California",0,"2008-02-09","Electrical System Separation","West","Feb","Saturday",1,1,"Winter"
"CA",2008-02-10,0,0,68,41,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"California",NA,NA,NA,NA,"Feb","Sunday",1,0,"Winter"
"CA",2008-02-11,0,0,67,43,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"California",NA,NA,NA,NA,"Feb","Monday",0,0,"Winter"
"CA",2008-02-12,0,0,71,44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"California",NA,NA,NA,NA,"Feb","Tuesday",0,0,"Winter"
"CA",2008-02-13,0,0,61,48,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"California",NA,NA,NA,NA,"Feb","Wednesday",0,0,"Winter"
"CA",2008-02-14,0,0,59,41,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"California",NA,NA,NA,NA,"Feb","Thursday",0,0,"Winter"
"CA",2008-02-15,0,0,61,37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"California",10,"2008-02-15","Electrical System Separation","West","Feb","Friday",0,1,"Winter"
"CA",2008-02-16,0,0,65,38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"California",NA,NA,NA,NA,"Feb","Saturday",1,0,"Winter"
"CA",2008-02-17,0,0,66,39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"California",NA,NA,NA,NA,"Feb","Sunday",1,0,"Winter"
"CA",2008-02-18,0,0,66,41,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"California",NA,NA,NA,NA,"Feb","Monday",0,0,"Winter"
"CA",2008-02-19,0.6,0,53,44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"California",NA,NA,NA,NA,"Feb","Tuesday",0,0,"Winter"
"CA",2008-02-20,0.11,0,61,47,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"California",NA,NA,NA,NA,"Feb","Wednesday",0,0,"Winter"
"CA",2008-02-21,0.1,0,54,45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"California",NA,NA,NA,NA,"Feb","Thursday",0,0,"Winter"
