Unnamed: 0,Index, NERC Region,Area Affected,Event Type,Demand Loss (MW),Number of Customers Affected ,Date Event Began,Time Event Began,Date of Restoration,Time of Restoration,Affected State,Region
1548,1246,RFC,"Seat Pleasant, Maryland",Vandalsim,0,0,2012-10-09 00:00:00,00:00:00,2012-10-09 00:00:00,00:01:00,Maryland,Northeast
1549,1247,RFC,"Seat Pleasant, Maryland",Vandalsim,0,0,2012-10-11 00:00:00,00:00:00,2012-10-11 00:00:00,00:01:00,Maryland,Northeast
1550,1248,WECC,Northern California,Electrical System Separation (Islanding),3,2035,2012-10-14 00:00:00,10:36:00,2012-10-14 00:00:00,10:50:00,California,West
1551,1249,NPCC,Southeast Vermont,Vandalism; Theft,0,0,2012-10-15 00:00:00,14:15:00,2012-10-15 00:00:00,14:16:00,Vermont,Northeast
1552,1250,RFC,"Norbeck, Maryland",Physical Attack; Vandalism,0,0,2012-10-22 00:00:00,00:00:00,2012-10-22 00:00:00,00:01:00,Maryland,Northeast
1553,1251,RFC,"Crawfordsville, Indiana",Transmission System Interruption,49,9800,2012-10-23 00:00:00,09:10:00,2012-10-23 00:00:00,09:16:00,Indiana,Midwest
1554,1252,RFC,"Kingswood, Maryland",Physical Attack; Vandalism,0,0,2012-10-24 00:00:00,00:00:00,2012-10-24 00:00:00,00:01:00,Maryland,Northeast
1555,1253,RFC,"Brighton, Maryland",Suspected Physical Attack,0,0,2012-10-24 00:00:00,00:00:00,2012-10-24 00:00:00,00:01:00,Maryland,Northeast
1556,1254,RFC,"Frankford, Delaware",Physical Attack; Vandalism,0,0,2012-10-24 00:00:00,15:15:00,2012-10-24 00:00:00,15:16:00,Delaware,Northeast
1557,1255,RFC,"West Lanham, Maryland",Physical Attack; Vandalism,,,2012-10-25 00:00:00,00:00:00,2012-10-25 00:00:00,00:01:00,Maryland,Northeast
1558,1256,WECC,"Pueblo, Colorado",Physical Attack; Vandalism,0,0,2012-10-25 00:00:00,14:39:00,2012-10-25 00:00:00,18:00:00,Colorado,West
1559,1257,RFC,"Newark, Delaware",Physical Attack; Vandalism,0,0,2012-10-25 00:00:00,18:51:00,2012-10-25 00:00:00,19:30:00,Delaware,Northeast
1560,1258,RFC,West Virginia,Severe Weather - Hurricane Sandy,0,208000,2012-10-29 00:00:00,00:00:00,2012-11-09 00:00:00,23:59:00,Virginia,Southeast
1561,1258,RFC,West Virginia,Severe Weather - Hurricane Sandy,0,208000,2012-10-29 00:00:00,00:00:00,2012-11-09 00:00:00,23:59:00,West Virginia,Southeast
1562,1259,RFC,New Jersey,Severe Weather - Hurricane Sandy,Unknown,Unknown,2012-10-29 00:00:00,08:00:00,2012-11-04 00:00:00,23:00:00,New Jersey,Northeast
1563,1260,WECC,"LaGrande, Washington",Physical Attack; Vandalism,0,0,2012-10-29 00:00:00,09:00:00,2012-10-29 00:00:00,09:01:00,Washington,West
1564,1261,RFC,"Delaware, Maryland",Severe Weather - Hurricane Sandy,Unknown,70000,2012-10-29 00:00:00,09:00:00,2012-11-02 00:00:00,18:00:00,Delaware,Northeast
1565,1261,RFC,"Delaware, Maryland",Severe Weather - Hurricane Sandy,Unknown,70000,2012-10-29 00:00:00,09:00:00,2012-11-02 00:00:00,18:00:00,Maryland,Northeast
1566,1262,RFC,New Jersey,Severe Weather - Hurricane Sandy,Unknown,217000,2012-10-29 00:00:00,12:00:00,2012-11-04 00:00:00,23:00:00,New Jersey,Northeast
1567,1263,NPCC,"Long Island, New York",Severe Weather - Hurricane Sandy,0,632816,2012-10-29 00:00:00,13:00:00,2012-11-12 00:00:00,14:00:00,New York,Northeast
1568,1264,NPCC,"Boston, Southeast Massachusetts",Severe Weather - Hurricane Sandy,Unknown,50000,2012-10-29 00:00:00,14:40:00,2012-10-30 00:00:00,18:16:00,Massachusetts,Northeast
1569,1265,NPCC,Eastern Massachusetts,Severe Weather - Hurricane Sandy,Unknown,50000,2012-10-29 00:00:00,14:45:00,2012-11-01 00:00:00,01:30:00,Massachusetts,Northeast
1570,1266,WECC,"Las Vegas, Nevada",Suspected Physical Attack,,,2012-10-29 00:00:00,15:00:00,2012-10-29 00:00:00,15:01:00,Nevada,West
1571,1267,NPCC,"Connecticut, Western Massachusetts",Severe Weather - Hurricane Sandy,0,649075,2012-10-29 00:00:00,15:15:00,2012-11-04 00:00:00,20:00:00,Connecticut,Northeast
1572,1267,NPCC,"Connecticut, Western Massachusetts",Severe Weather - Hurricane Sandy,0,649075,2012-10-29 00:00:00,15:15:00,2012-11-04 00:00:00,20:00:00,Massachusetts,Northeast
1573,1268,RFC,Eastern Pennsylvania,Severe Weather - Hurricane Sandy,0,270000,2012-10-29 00:00:00,16:00:00,2012-11-07 00:00:00,23:48:00,Pennsylvania,Northeast
1574,1269,RFC,Maryland; West Virginia,Severe Weather - Hurricane Sandy,Unknown,150000,2012-10-29 00:00:00,16:00:00,2012-11-08 00:00:00,17:08:00,Maryland,Northeast
1575,1269,RFC,Maryland; West Virginia,Severe Weather - Hurricane Sandy,Unknown,150000,2012-10-29 00:00:00,16:00:00,2012-11-08 00:00:00,17:08:00,Virginia,Southeast
1576,1269,RFC,Maryland; West Virginia,Severe Weather - Hurricane Sandy,Unknown,150000,2012-10-29 00:00:00,16:00:00,2012-11-08 00:00:00,17:08:00,West Virginia,Southeast
1577,1270,RFC,Greater Cleveland Ohio,Severe Weather - Hurricane Sandy,0,346000,2012-10-29 00:00:00,16:00:00,2012-11-05 00:00:00,23:59:00,Ohio,Midwest
1578,1271,NPCC,"Greater New York City, New York",Severe Weather - Hurricane Sandy,0,818000,2012-10-29 00:00:00,16:01:00,2012-11-08 00:00:00,19:00:00,New York,Northeast
1579,1272,NPCC,New Jersey,Severe Weather - Hurricane Sandy,Unknown,50000,2012-10-29 00:00:00,16:03:00,2012-11-06 00:00:00,12:00:00,New Jersey,Northeast
1580,1273,NPCC,New Hampshire,Severe Weather - Hurricane Sandy,,50000,2012-10-29 00:00:00,16:45:00,2012-10-31 00:00:00,11:00:00,New Hampshire,Northeast
1581,1274,RFC,Greater Baltimore Maryland,Severe Weather - Hurricane Sandy,0,219000,2012-10-29 00:00:00,17:13:00,2012-10-31 00:00:00,11:00:00,Maryland,Northeast
1582,1275,RFC,Greater Philadelphia Pennsylvania,Severe Weather - Hurricane Sandy,Unknown,850000,2012-10-29 00:00:00,17:30:00,2012-11-06 00:00:00,00:00:00,Pennsylvania,Northeast
1583,1276,RFC,Central Pennsylvania,Severe Weather - Hurricane Sandy,Unknown,400000,2012-10-29 00:00:00,18:11:00,2012-11-04 00:00:00,22:50:00,Pennsylvania,Northeast
1584,1277,RFC,Virginia,Severe Weather - Hurricane Sandy,520,156000,2012-10-29 00:00:00,18:12:00,2012-10-30 00:00:00,19:35:00,Virginia,Southeast
1585,1278,NPCC; RFC,Southeast New York; New Jersey,Severe Weather - Hurricane Sandy,Unknown,200000,2012-10-29 00:00:00,18:46:00,2012-11-03 00:00:00,10:45:00,New Jersey,Northeast
1586,1278,NPCC; RFC,Southeast New York; New Jersey,Severe Weather - Hurricane Sandy,Unknown,200000,2012-10-29 00:00:00,18:46:00,2012-11-03 00:00:00,10:45:00,New York,Northeast
1587,1279,NP,New York,Severe Weather - Hurricane Sandy,Unknown,371000,2012-10-29 00:00:00,18:48:00,2012-11-04 00:00:00,11:36:00,New York,Northeast
1588,1280,RFC; SERC,Indiana; Kentucky; Michigan; Ohio,Severe Weather - Nor'easter,Unknown,173273,2012-10-29 00:00:00,19:00:00,2012-11-02 00:00:00,05:00:00,Indiana,Midwest
1589,1280,RFC; SERC,Indiana; Kentucky; Michigan; Ohio,Severe Weather - Nor'easter,Unknown,173273,2012-10-29 00:00:00,19:00:00,2012-11-02 00:00:00,05:00:00,Kentucky,Southeast
1590,1280,RFC; SERC,Indiana; Kentucky; Michigan; Ohio,Severe Weather - Nor'easter,Unknown,173273,2012-10-29 00:00:00,19:00:00,2012-11-02 00:00:00,05:00:00,Michigan,Midwest
1591,1280,RFC; SERC,Indiana; Kentucky; Michigan; Ohio,Severe Weather - Nor'easter,Unknown,173273,2012-10-29 00:00:00,19:00:00,2012-11-02 00:00:00,05:00:00,Ohio,Midwest
1592,1281,NPCC,Southeast and Seacoast Maine,Severe Weather - Hurricane Sandy,Unknown,50000,2012-10-29 00:00:00,19:15:00,2012-10-30 00:00:00,15:02:00,Maine,Northeast
1593,1282,RFC,"Hyattsville, Maryland",Physical Attack; Vandalism,0,0,2012-10-30 00:00:00,00:00:00,2012-10-30 00:00:00,00:02:00,Maryland,Northeast
1594,1283,RFC,Greater Detroit Michigan,Severe Weather - Nor'easter,Unknown,133777,2012-10-30 00:00:00,02:00:00,2012-11-01 00:00:00,22:00:00,Michigan,Midwest
1595,1284,NPCC,"Fitzwilliam, New Hampshire",Vandalism   ,0,0,2012-10-30 00:00:00,13:20:00,2012-10-30 00:00:00,13:25:00,New Hampshire,Northeast
1596,1285,WECC,"Pueblo, Colorado",Physical Attack; Vandalism,Unknown,Unknown,2012-10-30 00:00:00,15:00:00,2012-10-30 00:00:00,15:01:00,Colorado,West
1597,1286,NPCC,"Concord, Vermont",Physical Attack; Vandalism,0,0,2012-11-02 00:00:00,09:30:00,2012-11-02 00:00:00,12:10:00,Vermont,Northeast
1598,1287,NPCC,New Hampshire,Physical Attack; Vandalism,0,0,2012-11-07 00:00:00,14:21:00,2012-11-07 00:00:00,14:48:00,New Hampshire,Northeast
1599,1288,RFC,"Bishopville, Maryland",Physical Attack; Vandalism,0,0,2012-11-08 00:00:00,09:34:00,2012-11-08 00:00:00,09:35:00,Maryland,Northeast
1600,1289,NPCC,Southeast Massachusetts,Physical Attack; Vandalism,0,0,2012-11-15 00:00:00,05:38:00,2012-11-15 00:00:00,05:39:00,Massachusetts,Northeast
1601,1290,MRO,Iowa; Michigan,Suspected Cyber Attack,Unknown,Unknown,2012-11-15 00:00:00,21:09:00,2012-11-15 00:00:00,21:26:00,Iowa,Midwest
1602,1290,MRO,Iowa; Michigan,Suspected Cyber Attack,Unknown,Unknown,2012-11-15 00:00:00,21:09:00,2012-11-15 00:00:00,21:26:00,Michigan,Midwest
1603,1291,TRE,"Comanche Peak, Texas",Fuel Supply Deficiency,1231,0,2012-11-17 00:00:00,10:00:00,2012-11-18 00:00:00,10:00:00,Texas,South
1604,1292,RFC,"Bethany Beach, Delaware",Physical Attack; Vandalism,,,2012-11-21 00:00:00,14:50:00,2012-11-21 00:00:00,14:51:00,Delaware,Northeast
1605,1293,RFC,"Frankfort, Delaware",Physical Attack; Vandalism,0,0,2012-11-26 00:00:00,12:37:00,2012-11-26 00:00:00,12:38:00,Delaware,Northeast
1606,1294,RFC,"Georgetown, Delaware",Physical Attack; Vandalism,,,2012-11-26 00:00:00,15:07:00,2012-11-26 00:00:00,15:08:00,Delaware,Northeast
1607,1295,NPCC,New Hampshire,Physical Attack; Vandalism,0,0,2012-11-27 00:00:00,13:07:00,2012-11-27 00:00:00,13:40:00,New Hampshire,Northeast
1608,1296,WECC,Northern California,Severe Weather - Winter Storm,250,125000,2012-12-02 00:00:00,05:20:00,2012-12-04 00:00:00,09:00:00,California,West
1609,1297,WECC,"Tacoma, Washington",Suspected Physical Attack,0,0,2012-12-03 00:00:00,12:02:00,2012-12-03 00:00:00,12:30:00,Washington,West
1610,1298,WECC,"Greater San Jose, California",Load Shed,390,Unknown,2012-12-06 00:00:00,21:18:00,2012-12-06 00:00:00,21:31:00,California,West
1611,1299,WECC,"Tacoma, Washington",Suspected Physical Attack,0,0,2012-12-17 00:00:00,06:55:00,2012-12-17 00:00:00,07:00:00,Washington,West
1612,1300,SPP,Arkansas; Louisiana; Mississippi; Texas ,Severe Weather - Winter Storm,Unknown,242509,2012-12-25 00:00:00,00:45:00,2012-12-28 00:00:00,16:15:00,Arkansas,South
1613,1300,SPP,Arkansas; Louisiana; Mississippi; Texas ,Severe Weather - Winter Storm,Unknown,242509,2012-12-25 00:00:00,00:45:00,2012-12-28 00:00:00,16:15:00,Louisiana,South
1614,1300,SPP,Arkansas; Louisiana; Mississippi; Texas ,Severe Weather - Winter Storm,Unknown,242509,2012-12-25 00:00:00,00:45:00,2012-12-28 00:00:00,16:15:00,Mississippi,Southeast
1615,1300,SPP,Arkansas; Louisiana; Mississippi; Texas ,Severe Weather - Winter Storm,Unknown,242509,2012-12-25 00:00:00,00:45:00,2012-12-28 00:00:00,16:15:00,Texas,South
1616,1301,TRE,"Houston, Texas","Severe Weather - Cold Front, High Winds",294,262000,2012-12-25 00:00:00,09:28:00,2012-12-26 00:00:00,16:28:00,Texas,South
1617,1302,SERC,"Stantonsburg, North Carolina",Severe Weather - Thunderstorm,3,1200,2012-12-26 00:00:00,14:50:00,2012-12-26 00:00:00,19:40:00,North Carolina,Southeast
1618,1303,SERC,North Carolina,Transmission Interruption,40,12000,2012-12-31 00:00:00,14:21:00,2012-12-31 00:00:00,16:30:00,North Carolina,Southeast
1619,1304,RFC,"Denton, Maryland",Physcial Attack; Vandalism,Unknown,Unknown,2013-01-07 00:00:00,10:43:00,2013-01-07 00:00:00,10:43:00,Maryland,Northeast
1620,1305,RFC,"Denton, Maryland",Physcial Attack; Vandalism,Unknown,Unknown,2013-01-16 00:00:00,14:25:00,2013-01-16 00:00:00,14:25:00,Maryland,Northeast
1621,1306,WECC,"San Juan County, New Mexico",Suspected Physical Attack,0,0,2013-01-16 00:00:00,16:45:00,2013-01-16 00:00:00,19:26:00,New Mexico,Southwest
1622,1307,MRO,"Webster County, Iowa",Physical Attack,,,2013-01-16 00:00:00,07:41:00,2013-01-17 00:00:00,10:58:00,Iowa,Midwest
1623,1308,RFC,"Southwest Virginia, Southern West Virginia",Severe Weather - Winter Storm,Unknown,127000,2013-01-17 00:00:00,18:07:00,2013-01-20 00:00:00,19:30:00,Virginia,Southeast
1624,1308,RFC,"Southwest Virginia, Southern West Virginia",Severe Weather - Winter Storm,Unknown,127000,2013-01-17 00:00:00,18:07:00,2013-01-20 00:00:00,19:30:00,West Virginia,Southeast
1625,1309,SERC,Northeast Tennessee,Severe Weather - Winter Storm,Unknown,80000,2013-01-17 00:00:00,19:02:00,2013-01-19 00:00:00,18:00:00,Tennessee,Southeast
1626,1310,SERC,"Elizabeth City, North Carolina",Distribution Interruption,40,12000,2013-01-17 00:00:00,20:35:00,2013-01-17 00:00:00,21:20:00,North Carolina,Southeast
1627,1311,RFC,Southeastern Michigan,Severe Weather - Wind Storm,Unknown,146500,2013-01-20 00:00:00,03:30:00,2013-01-23 00:00:00,06:15:00,Michigan,Midwest
1628,1312,WECC,"Tacoma Narrows Crossing, Washington",Physical Attack,Unknown,Unknown,2013-01-28 00:00:00,16:46:00,2013-01-28 00:00:00,18:00:00,Washington,West
1629,1313,SERC,Central and Eastern Virginia,Severe Weather - Wind Storm,188,119000,2013-01-31 00:00:00,03:05:00,2013-01-31 00:00:00,04:48:00,Virginia,Southeast
1630,1314,NPCC,Connecticut,Severe Weather - Wind Storm,75,75000,2013-01-31 00:00:00,06:30:00,2013-01-31 00:00:00,10:00:00,Connecticut,Northeast
1631,1315,WECC,"El Paso, New Mexico",Vandalism,,,2013-02-02 00:00:00,21:15:00,2013-02-02 00:00:00,22:15:00,New Mexico,Southwest
1632,1316,RFC,"Cincinnati, Ohio",Vandalism,Unknown,0,2013-02-07 00:00:00,08:32:00,2013-02-07 00:00:00,09:47:00,Ohio,Midwest
1633,1317,RFC,District of Columbia; Prince George's County Maryland,Equipment Trip & Failure,140,52000,2013-02-08 00:00:00,11:38:00,2013-02-08 00:00:00,14:17:00,Maryland,Northeast
1634,1318,NPCC,Central and eastern Massachusetts; Rhode Island,Severe Weather - Winter Storm Nemo,,50000,2013-02-08 00:00:00,20:00:00,2013-02-11 00:00:00,20:30:00,Massachusetts,Northeast
1635,1318,NPCC,Central and eastern Massachusetts; Rhode Island,Severe Weather - Winter Storm Nemo,,50000,2013-02-08 00:00:00,20:00:00,2013-02-11 00:00:00,20:30:00,Rhode Island,Northeast
