,Index, NERC Region,Area Affected,Event Type,Demand Loss (MW),Number of Customers Affected ,Date Event Began,Time Event Began,Date of Restoration,Time of Restoration,Affected State
626,480,RFC,"Area Around West Orange Switching Station, New Jersey",Fire/Breaker Failure,215,75654,2008-06-09 00:00:00,14:52:00,2008-06-09 00:00:00,20:25:00,New Jersey
629,483,RFC,"Bergen, Essex and Hudson Counties, New Jersey",Severe Storms,,248800,2008-06-10 00:00:00,18:00:00,2008-06-14 00:00:00,11:30:00,New Jersey
630,484,RFC,"Chester, Montgomery, Delaware, Philadelphia and Bucks County, Pennsylvania",Severe Thunderstorms,,198000,2008-06-10 00:00:00,19:00:00,2008-06-14 00:00:00,15:59:00,Delaware
631,484,RFC,"Chester, Montgomery, Delaware, Philadelphia and Bucks County, Pennsylvania",Severe Thunderstorms,,198000,2008-06-10 00:00:00,19:00:00,2008-06-14 00:00:00,15:59:00,Pennsylvania
633,486,NPCC,Upstate New York,Severe Storm,400,68000,2008-06-10 00:00:00,11:00:00,2008-06-13 00:00:00,17:30:00,New York
634,487,NPCC,New York State,Uncontrolled Loss,200,61000,2008-06-11 00:00:00,13:15:00,2008-06-11 00:00:00,14:05:00,New York
635,488,RFC,East Central Iowa,Flooding and Uncontrolled Loss,200,21000,2008-06-12 00:00:00,15:30:00,2008-06-18 00:00:00,16:00:00,Iowa
636,489,RFC,"City of Crawfordsville, Indiana",Electrical System Separation,57,9700,2008-06-15 00:00:00,19:06:00,2008-06-15 00:00:00,20:42:00,Indiana
638,491,SERC,Northern Virginia,Thunderstorms,"800-1,000",115000,2008-06-16 00:00:00,16:15:00,2008-06-16 00:00:00,23:19:00,Virginia
639,492,TRE,"North, Central and East Texas",Severe Thunderstorms,,234393,2008-06-17 00:00:00,09:01:00,2008-06-19 00:00:00,20:30:00,Texas
640,493,SPP,Southwestern Public Service Company Operating in the Panhandle of Texas and New Mexico,Electrical System Separation/Severe Thunderstorms,560,18000,2008-06-17 00:00:00,20:35:00,2008-06-18 00:00:00,01:55:00,New Mexico
641,493,SPP,Southwestern Public Service Company Operating in the Panhandle of Texas and New Mexico,Electrical System Separation/Severe Thunderstorms,560,18000,2008-06-17 00:00:00,20:35:00,2008-06-18 00:00:00,01:55:00,Texas
642,494,TRE,"Texas Panhandle and Texas South Plains Regions, and Oklahoma Panhandle",Thunderstorms/Uncontrolled Loss of Load,276,37330,2008-06-17 00:00:00,20:40:00,2008-06-17 00:00:00,23:00:00,Oklahoma
643,494,TRE,"Texas Panhandle and Texas South Plains Regions, and Oklahoma Panhandle",Thunderstorms/Uncontrolled Loss of Load,276,37330,2008-06-17 00:00:00,20:40:00,2008-06-17 00:00:00,23:00:00,Texas
644,495,WECC,"Near Rogers Flat, California",Electrical System Separation/Severe Lightning Storms,3,477,2008-06-21 00:00:00,15:09:00,2008-06-21 00:00:00,18:53:00,California
645,496,RFC,Northwest Indiana,Lightning Stirke/Uncontrolled Loss of Load,650,,2008-06-22 00:00:00,16:55:00,2008-06-22 00:00:00,17:05:00,Indiana
646,497,RFC,Northcentral Indiana,Fire/Breaker Failure,425,,2008-06-23 00:00:00,13:44:00,2008-06-23 00:00:00,13:45:00,Indiana
647,498,FRCC,"Pinellas County, Florida",Transmission Equipment Failure/Load Shedding,113,32593,2008-06-23 00:00:00,16:52:00,2008-06-23 00:00:00,23:28:00,Florida
648,499,RFC,Southeastern Michigan (DTE Service Territory),Thunderstorms,,53000,2008-06-26 00:00:00,17:00:00,2008-06-26 00:00:00,21:30:00,Michigan
649,500,MRO,"Omaha, Nebraska (Metro Area)",Severe Wind Storm,650,126000,2008-06-27 00:00:00,16:30:00,2008-06-27 00:00:00,17:30:00,Nebraska
650,501,WECC,"San Francisco Bay Area, California",Unit Tripped,160,-,2008-07-01 00:00:00,07:31:00,2008-07-01 00:00:00,12:00:00,California
651,502,WECC,Goleta and Santa Barbara Areas of Southern California,Brush Fire/Lines Loss/Transmission Emergency Declared,119,37784,2008-07-02 00:00:00,19:36:00,2008-07-03 00:00:00,01:10:00,California
652,503,RFC,Lower 2/3 of Michigan's Lower Peninsula,Severe Weather,125,239663,2008-07-02 00:00:00,15:00:00,2008-07-06 00:00:00,12:00:00,Michigan
654,505,WECC,"Santa Barbara County, California, near Goleta",Wild Land Fire,208,200000,2008-07-02 00:00:00,19:16:00,2008-07-02 00:00:00,23:28:00,California
655,506,RFC,Southeastern Michigan (DTE Service Territory),Thunderstorms,,56000,2008-07-02 00:00:00,20:00:00,2008-07-03 00:00:00,03:00:00,Michigan
657,508,WECC,"San Francisco Bay Area, California",Unit Tripped,240,-,2008-07-10 00:00:00,14:22:00,2008-07-10 00:00:00,17:21:00,California
658,509,MRO,"Sioux City, Carroll, Des Moines, Iowa City, and Davenport Iowa, Rock Island, Moline, and Surrounding Area of Illinois",Storm,170,185000,2008-07-21 00:00:00,00:49:00,2008-07-22 00:00:00,18:00:00,Illinois
659,509,MRO,"Sioux City, Carroll, Des Moines, Iowa City, and Davenport Iowa, Rock Island, Moline, and Surrounding Area of Illinois",Storm,170,185000,2008-07-21 00:00:00,00:49:00,2008-07-22 00:00:00,18:00:00,Iowa
660,510,RFC,Indiana,Severe Thunderstorms,,58000,2008-07-22 00:00:00,03:00:00,2008-07-24 00:00:00,19:32:00,Indiana
661,511,RFC,Southwest Ohio,Severe Thunderstorms,,56000,2008-07-22 00:00:00,03:00:00,2008-07-23 00:00:00,03:30:00,Ohio
662,512,SPP,Texas Panhandle and Southeastern New Mexico,Indequate Electric Resources to Serve Load/Public Appeal,,-,2008-07-22 00:00:00,14:00:00,2008-07-24 00:00:00,05:09:00,New Mexico
663,512,SPP,Texas Panhandle and Southeastern New Mexico,Indequate Electric Resources to Serve Load/Public Appeal,,-,2008-07-22 00:00:00,14:00:00,2008-07-24 00:00:00,05:09:00,Texas
664,513,TRE,"Port Isabel, Harlingen, Weslaco, Pharr, San Benito, Mission, McAllen, Edinburg, Texas",Hurricane Dolly,703,211266,2008-07-23 00:00:00,05:56:00,2008-07-31 00:00:00,04:00:00,Texas
665,514,NPCC,"Bangor Hydro System, northern Maine",Electric System Separation/Severe Lightning Storms,180,110000,2008-07-24 00:00:00,07:23:00,2008-07-24 00:00:00,17:41:00,Maine
666,515,SERC,Georgia and Alabama,Severe Thunderstorms,400,131115,2008-08-02 00:00:00,20:00:00,2008-08-03 00:00:00,05:30:00,Alabama
667,515,SERC,Georgia and Alabama,Severe Thunderstorms,400,131115,2008-08-02 00:00:00,20:00:00,2008-08-03 00:00:00,05:30:00,Georgia
668,516,SERC,"Mississippi, Louisiana, Texas",Severe Thunderstorms,,59500,2008-08-03 00:00:00,01:30:00,2008-08-03 00:00:00,04:15:00,Louisiana
669,516,SERC,"Mississippi, Louisiana, Texas",Severe Thunderstorms,,59500,2008-08-03 00:00:00,01:30:00,2008-08-03 00:00:00,04:15:00,Mississippi
670,516,SERC,"Mississippi, Louisiana, Texas",Severe Thunderstorms,,59500,2008-08-03 00:00:00,01:30:00,2008-08-03 00:00:00,04:15:00,Texas
672,518,RFC,Northwest Indiana,Severe Storms,0,63000,2008-08-05 00:00:00,03:00:00,2008-08-05 00:00:00,09:50:00,Indiana
673,519,SPP,Texas Panhandle and Eastern New Mexico,Declared Energy Emergency Alert 1/Made Public Appeals,0,0,2008-08-09 00:00:00,12:00:00,2008-08-09 00:00:00,20:46:00,New Mexico
674,519,SPP,Texas Panhandle and Eastern New Mexico,Declared Energy Emergency Alert 1/Made Public Appeals,0,0,2008-08-09 00:00:00,12:00:00,2008-08-09 00:00:00,20:46:00,Texas
677,522,PR,Island of Puerto Rico,Shed Firm Load/Voltage Reduction,300,200000,2008-08-16 00:00:00,08:14:00,2008-08-16 00:00:00,15:00:00,Puerto Rico
679,524,FRCC,Florida,Tropical Storm Fay,,101950,2008-08-19 00:00:00,09:29:00,2008-08-22 00:00:00,22:00:00,Florida
680,525,FRCC,"Alachua, Bay, Brevard, Citrus, Columbia, Dixie, Flagler, Franklin, Gilchrist, Gulf, Hamilton, Hardee, Hernando, Highlands, Jefferson, Lafayette, Lake, Leon, Levy, Madison, Marion, Orange, Osceola, Pasco, Pinellas, Polk, Seminole, Sumter,  Suwannee, Taylor, Volusia and Wakulla Counties in Florida",Tropical Storm Fay,,430000,2008-08-21 00:00:00,19:00:00,2008-08-25 00:00:00,08:00:00,Florida
682,527,SERC,Georgia and Alabama,Tropical Storm Fay,110,87390,2008-08-24 00:00:00,04:30:00,2008-08-24 00:00:00,14:00:00,Alabama
683,527,SERC,Georgia and Alabama,Tropical Storm Fay,110,87390,2008-08-24 00:00:00,04:30:00,2008-08-24 00:00:00,14:00:00,Georgia
684,528,SERC,"Louisiana, Mississippi, Arkansas",Hurricane Gustav,,964000,2008-08-31 00:00:00,19:00:00,2008-09-03 00:00:00,09:00:00,Arkansas
685,528,SERC,"Louisiana, Mississippi, Arkansas",Hurricane Gustav,,964000,2008-08-31 00:00:00,19:00:00,2008-09-03 00:00:00,09:00:00,Louisiana
686,528,SERC,"Louisiana, Mississippi, Arkansas",Hurricane Gustav,,964000,2008-08-31 00:00:00,19:00:00,2008-09-03 00:00:00,09:00:00,Mississippi
687,529,SERC,"Plaquemine, Louisiana",Fuel Supply Curtailed,200,0,2008-08-31 00:00:00,07:30:00,2008-09-19 00:00:00,09:00:00,Louisiana
688,530,SERC,"Bayou Division and North Lake Division, Louisiana",Hurricane Gustav,,246092,2008-09-01 00:00:00,11:45:00,2008-09-10 00:00:00,16:00:00,Louisiana
689,531,SERC,Primarily South and Central Louisiana,Hurricane Gustav,400,150000,2008-09-01 00:00:00,10:30:00,2008-09-13 00:00:00,19:22:00,Louisiana
690,532,SERC,Eastern North Carolina,Tropical Storm Hanna,,57000,2008-09-06 00:00:00,07:45:00,2008-09-06 00:00:00,10:30:00,North Carolina
691,533,SERC,North East North Carolina and Virginia,Tropical Storm Hanna,220,64463,2008-09-06 00:00:00,14:15:00,2008-09-06 00:00:00,16:06:00,North Carolina
692,533,SERC,North East North Carolina and Virginia,Tropical Storm Hanna,220,64463,2008-09-06 00:00:00,14:15:00,2008-09-06 00:00:00,16:06:00,Virginia
695,536,TRE,Greater Houston Area-Eastern Region of ERCOT,Hurricane Ike,,2504366,2008-09-12 00:00:00,18:21:00,2008-10-01 00:00:00,23:59:00,Colorado
697,538,SERC,"Primarily Southeast Texas, Louisiana, and Arkansas",Hurricane Ike,,705000,2008-09-12 00:00:00,05:45:00,2008-09-14 00:00:00,13:00:00,Arkansas
698,538,SERC,"Primarily Southeast Texas, Louisiana, and Arkansas",Hurricane Ike,,705000,2008-09-12 00:00:00,05:45:00,2008-09-14 00:00:00,13:00:00,Louisiana
699,538,SERC,"Primarily Southeast Texas, Louisiana, and Arkansas",Hurricane Ike,,705000,2008-09-12 00:00:00,05:45:00,2008-09-14 00:00:00,13:00:00,Texas
700,539,TRE,"North, Central and East Texas",Hurricane Ike,,238392,2008-09-13 00:00:00,12:00:00,2008-09-15 00:00:00,08:00:00,Texas
701,540,SERC,Southwest Louisiana,Hurricane Ike,40,50000,2008-09-13 00:00:00,10:24:00,2008-09-27 00:00:00,14:40:00,Louisiana
702,541,SPP,Texas and Louisana,Hurricane Ike,,184501,2008-09-13 00:00:00,16:00:00,2008-09-16 00:00:00,19:44:00,Texas
703,542,RFC,Allegheny and Beaver Counties in Pennsylvania,Tropical Depression Ike,600,105000,2008-09-14 00:00:00,19:00:00,2008-09-14 00:00:00,23:59:00,Pennsylvania
704,543,RFC,"City of Owensboro, Kentucky",High Winds,70,18000,2008-09-14 00:00:00,10:01:00,2008-09-21 00:00:00,17:00:00,Kentucky
705,544,RFC,Dayton Ohio Area,Hurricane Ike,1000,95000,2008-09-14 00:00:00,14:00:00,2008-09-17 00:00:00,12:00:00,Ohio
706,545,MRO,Missouri and Illinois,Hurricane Ike,,107000,2008-09-14 00:00:00,07:30:00,2008-09-18 00:00:00,15:00:00,Illinois
707,545,MRO,Missouri and Illinois,Hurricane Ike,,107000,2008-09-14 00:00:00,07:30:00,2008-09-18 00:00:00,15:00:00,Missouri
708,546,RFC,Northeast Ohio,Wind Storm,430,245164,2008-09-14 00:00:00,17:00:00,2008-09-22 00:00:00,03:20:00,Ohio
709,547,RFC,"Northern Indiana, Central and Central Southern Ohio",Wind Storm,,650000,2008-09-14 00:00:00,16:00:00,2008-09-20 00:00:00,23:00:00,Indiana
710,547,RFC,"Northern Indiana, Central and Central Southern Ohio",Wind Storm,,650000,2008-09-14 00:00:00,16:00:00,2008-09-20 00:00:00,23:00:00,Ohio
711,548,RFC,"Ohio, Kentucky, Indiana",Tropical Depression Ike,,875000,2008-09-14 00:00:00,06:30:00,2008-09-14 00:00:00,14:38:00,Indiana
712,548,RFC,"Ohio, Kentucky, Indiana",Tropical Depression Ike,,875000,2008-09-14 00:00:00,06:30:00,2008-09-14 00:00:00,14:38:00,Kentucky
713,548,RFC,"Ohio, Kentucky, Indiana",Tropical Depression Ike,,875000,2008-09-14 00:00:00,06:30:00,2008-09-14 00:00:00,14:38:00,Ohio
714,549,RFC,"Southern, Eastern, and Central Ohio",Wind Storm,469,564728,2008-09-14 00:00:00,17:00:00,2008-09-22 00:00:00,17:11:00,Ohio
715,550,RFC,State of Kentucky,Tropical Depression Ike,,375000,2008-09-14 00:00:00,11:30:00,2008-09-14 00:00:00,16:30:00,Kentucky
716,551,RFC,Western Pennsylvania,Wind Storm,72,124596,2008-09-14 00:00:00,17:00:00,2008-09-19 00:00:00,12:38:00,Pennsylvania
717,552,RFC,Western Pennsylvania,Tropical Depression Ike,546,160875,2008-09-15 00:00:00,00:37:00,2008-09-19 00:00:00,16:30:00,Pennsylvania
718,553,PR,Island of Puerto Rico,Shed Firm Load,125,43600,2008-09-22 00:00:00,17:49:00,2008-09-22 00:00:00,06:39:00,Puerto Rico
719,554,WECC,"Plumas County, California",Electrical System Separation,30,10000,2008-09-30 00:00:00,14:02:00,2008-09-30 00:00:00,14:05:00,California
720,555,SERC,Louisiana,Load Shedding,200,0,2008-10-02 00:00:00,14:50:00,2008-10-02 00:00:00,09:50:00,Louisiana
721,556,NPCC,Connecticut,Severe Storm,,52000,2008-10-25 00:00:00,23:00:00,2008-10-27 00:00:00,07:00:00,Connecticut
722,557,WECC,Goleta and Santa Barbara Areas of Southern California,Load Shedding,250,140000,2008-11-07 00:00:00,11:13:00,2008-11-07 00:00:00,11:54:00,California
723,558,WECC,Southern California,Load Shedding,430,400000,2008-11-07 00:00:00,11:15:00,2008-11-07 00:00:00,11:54:00,California
724,559,PR,Island of Puerto Rico,Shed Firm Load,250,261000,2008-11-11 00:00:00,08:30:00,2008-11-11 00:00:00,00:19:00,Puerto Rico
726,561,Midwest ISO (RFC,"St. Louis, Missouri",Fire/Load Shedding,135,53000,2008-12-02 00:00:00,04:30:00,2008-12-02 00:00:00,07:00:00,Missouri
727,562,RFC,Central New Jersey,Lines Loss/Transmission,438,156729,2008-12-09 00:00:00,17:27:00,2008-12-10 00:00:00,04:12:00,New Jersey
728,563,WECC,Southern Oregon,Equipment Failure/Made Public Appeal,32,3,2008-12-10 00:00:00,17:09:00,2008-12-10 00:00:00,20:29:00,Oregon
729,564,NPCC,Northern Dutchess County and Western Ulster County in the Mid-Hudson Region of New York State,Ice Storm,,60000,2008-12-11 00:00:00,18:00:00,2008-12-15 00:00:00,00:00:00,New York
730,565,SERC,"Southern Louisiana, Southern and Central Mississippi",Snow Storm,,91300,2008-12-11 00:00:00,09:00:00,2008-12-13 00:00:00,23:59:00,Louisiana
731,565,SERC,"Southern Louisiana, Southern and Central Mississippi",Snow Storm,,91300,2008-12-11 00:00:00,09:00:00,2008-12-13 00:00:00,23:59:00,Mississippi
732,566,NPCC,Eastern New York,Ice Storm,200,190000,2008-12-12 00:00:00,02:38:00,2008-12-19 00:00:00,13:24:00,New York
734,568,NPCC,Southern and Central Maine,Ice Storm,,169757,2008-12-12 00:00:00,08:45:00,2008-12-14 00:00:00,09:52:00,Maine
735,569,WECC,Humboldt Area of California,Declared Stage 1 Electric Emergency/Made Public Appeal,5,0,2008-12-13 00:00:00,15:30:00,2008-12-21 00:00:00,09:17:00,California
736,570,WECC,"East of Oroville, California",Electrical System Separation,1,638,2008-12-19 00:00:00,01:02:00,2008-12-19 00:00:00,06:17:00,California
737,571,RFC,"Indiana, Michigan and Northwest Ohio",Ice Storm,,140000,2008-12-19 00:00:00,08:30:00,2008-12-22 00:00:00,12:00:00,Indiana
738,571,RFC,"Indiana, Michigan and Northwest Ohio",Ice Storm,,140000,2008-12-19 00:00:00,08:30:00,2008-12-22 00:00:00,12:00:00,Michigan
739,571,RFC,"Indiana, Michigan and Northwest Ohio",Ice Storm,,140000,2008-12-19 00:00:00,08:30:00,2008-12-22 00:00:00,12:00:00,Ohio
740,572,RFC,Northwest Indiana,Ice Storm,,50000,2008-12-19 00:00:00,09:00:00,2008-12-20 00:00:00,08:20:00,Indiana
741,573,HI,"Island of Oahu, Hawaii",Lightning,1060,294000,2008-12-26 00:00:00,18:13:00,2008-12-27 00:00:00,17:00:00,Hawaii
742,574,WECC,"Orangevale Area of Sacramento, California",Load Shedding,110,50000,2008-12-26 00:00:00,11:40:00,2008-12-26 00:00:00,15:34:00,California
743,575,RFC,Southeastern Michigan,Wind Storm,,247847,2008-12-27 00:00:00,16:00:00,2008-01-01 00:00:00,23:30:00,Michigan
744,576,RFC,Michigan Lower Peninsula,Wind Storm,,210517,2008-12-28 00:00:00,04:45:00,2008-12-31 00:00:00,18:00:00,Michigan
745,577,RFC,Michigan Lower Peninsula,Wind Storm,,230000,2008-12-28 00:00:00,11:45:00,2008-12-28 00:00:00,23:30:00,Michigan
746,578,RFC,"Crawfordsville, Indiana",Shed Firm Load,41,9700,2008-12-30 00:00:00,16:02:00,2008-12-30 00:00:00,16:37:00,Indiana
747,579,TRE,North and Central Texas,Severe Storm,,157019,2009-01-05 00:00:00,05:00:00,2009-01-06 00:00:00,18:00:00,Texas
748,580,SERC,Piedmont of North and South Carolina,High Winds,300,70000,2009-01-07 00:00:00,17:00:00,2009-01-07 00:00:00,20:05:00,South Carolina
749,581,FRCC,Florida Keys,Transmission Equipment Failure,55,31000,2009-01-08 00:00:00,23:46:00,2009-01-09 00:00:00,11:25:00,Florida
750,582,RFC,"PJM, Indiana",Fuel Supply Deficiency,,,2009-01-17 00:00:00,08:00:00,2009-01-25 00:00:00,08:00:00,Indiana
751,583,RFC,"Crawfordsville, Indiana",Shed Load,50,9700,2009-01-22 00:00:00,16:00:00,2009-01-22 00:00:00,17:05:00,Indiana
754,586,SERC,Northern Arkansas,Ice Storm,,111818,2009-01-27 00:00:00,13:46:00,2009-02-03 00:00:00,17:00:00,Arkansas
755,587,SERC,Northern Arkansas,Ice Storm,600,215700,2009-01-27 00:00:00,21:00:00,2009-01-29 00:00:00,06:00:00,Arkansas
756,588,SERC,South Central and Southeast Missouri,Winter Storm,200,62500,2009-01-27 00:00:00,11:00:00,2009-01-30 00:00:00,18:00:00,Missouri
757,589,RFC,State of Kentucky,Ice Storm,,383000,2009-01-27 00:00:00,05:00:00,2009-01-29 00:00:00,16:30:00,Kentucky
758,590,SERC,TVA Service Territory,Ice Storm,850,1,2009-01-27 00:00:00,21:45:00,2009-01-27 00:00:00,22:17:00,Virginia
759,591,SERC,Western Kentucky and Southern Indiana,Ice Storm,350,3,2009-01-27 00:00:00,07:10:00,2009-02-04 00:00:00,19:30:00,Indiana
760,591,SERC,Western Kentucky and Southern Indiana,Ice Storm,350,3,2009-01-27 00:00:00,07:10:00,2009-02-04 00:00:00,19:30:00,Kentucky
761,592,RFC,"City of Henderson, Kentucky and Portions of Henderson County, Kentucky",Ice Storm,21,3500,2009-01-28 00:00:00,04:00:00,2009-02-07 00:00:00,17:00:00,Kentucky
762,593,RFC,East Central Missouri,Winter Storm,300,1,2009-01-28 00:00:00,00:10:00,2009-01-30 00:00:00,21:20:00,Missouri
763,594,RFC,"Illinois, Indiana, Ohio and Kentucky",Winter Storm,,230300,2009-01-28 00:00:00,03:00:00,2009-02-13 00:00:00,08:03:00,Illinois
764,594,RFC,"Illinois, Indiana, Ohio and Kentucky",Winter Storm,,230300,2009-01-28 00:00:00,03:00:00,2009-02-13 00:00:00,08:03:00,Indiana
765,594,RFC,"Illinois, Indiana, Ohio and Kentucky",Winter Storm,,230300,2009-01-28 00:00:00,03:00:00,2009-02-13 00:00:00,08:03:00,Kentucky
766,594,RFC,"Illinois, Indiana, Ohio and Kentucky",Winter Storm,,230300,2009-01-28 00:00:00,03:00:00,2009-02-13 00:00:00,08:03:00,Ohio
767,595,RFC,"Indiana, Evansville, Metro Area",Ice Storm,506,75000,2009-01-28 00:00:00,06:00:00,2009-02-05 00:00:00,18:00:00,Indiana
768,596,SERC,Northeast Tennessee and Southwest Kentucky,Ice Storm,,109527,2009-01-28 00:00:00,09:00:00,2009-02-05 00:00:00,08:00:00,Kentucky
769,596,SERC,Northeast Tennessee and Southwest Kentucky,Ice Storm,,109527,2009-01-28 00:00:00,09:00:00,2009-02-05 00:00:00,08:00:00,Tennessee
770,597,RFC,Northern Kentucky and Southwest Ohio,Ice/Snow Storm,,53600,2009-01-28 00:00:00,10:00:00,2009-01-30 00:00:00,21:20:00,Kentucky
