,Index, NERC Region,Area Affected,Event Type,Demand Loss (MW),Number of Customers Affected ,Date Event Began,Time Event Began,Date of Restoration,Time of Restoration,Affected State
0,1,SPP,Metropolitan Kansas City Area,Ice Storm,500-600,270000,2002-01-29 00:00:00,,,,Kansas
1,2,SPP,Missouri,Ice Storm,210,95000,2002-01-30 00:00:00,16:00:00,2002-02-10 00:00:00,21:00:00,Missouri
2,3,SPP,Oklahoma,Ice Storm,500,1881134,2002-01-30 00:00:00,06:00:00,2002-02-07 00:00:00,12:00:00,Oklahoma
3,4,WSCC,California,Interruption of Firm Load,300,255000,2002-02-27 00:00:00,10:48:00,2002-02-27 00:00:00,11:35:00,California
4,5,ECAR,Lower Peninsula of Michigan,Severe Weather,190,190000,2002-03-09 00:00:00,00:00:00,2002-03-11 00:00:00,12:00:00,Michigan
5,6,WSCC,Arizona,Vandalism/,0,0,2002-04-08 00:00:00,15:00:00,2002-04-09 00:00:00,00:00:00,Arizona
6,7,WSCC,California,Interruption of Firm Power,240,1 PG&E,2002-07-09 00:00:00,12:27:00,2002-07-09 00:00:00,19:54:00,California
7,8,WSCC,California,Interruption of Firm Power (Unit Tripped),240,1 PG&E,2002-07-19 00:00:00,11:51:00,2002-07-19 00:00:00,16:30:00,California
8,9,NPCC,New York,Fire,278,63500,2002-07-20 00:00:00,12:40:00,2002-07-20 00:00:00,20:12:00,New York
9,10,MAIN,Illinois,Interruption of Firm Power,232,53565,2002-08-02 00:00:00,12:43:00,2002-08-02 00:00:00,18:36:00,Illinois
10,11,SERC,Florida,Interruption of Firm Power,51,25000,2002-08-09 00:00:00,08:23:00,2002-08-09 00:00:00,12:13:00,Florida
11,12,WSCC,California,Interruption of Firm Power,120,1 PG&E,2002-08-25 00:00:00,03:41:00,2002-08-25 00:00:00,09:17:00,California
12,13,SERC,Florida,Severe Weather,67.6,25000,2002-08-28 00:00:00,14:09:00,2002-08-28 00:00:00,15:38:00,Florida
13,14,SPP,Coastal Areas of Southern Louisiana,Hurricane Lily,,242910,2002-10-03 00:00:00,03:33:00,2002-10-12 00:00:00,00:00:00,Louisiana
14,15,WSCC,Northern and Central California,Winter Storm,270,939000,2002-11-06 00:00:00,22:00:00,2002-11-10 00:00:00,12:00:00,California
15,16,NPPC,"Northport, NY",Cable Tripped,0,0,2002-11-17 00:00:00,15:48:00,,,New York
16,17,NPCC,Northwest and North Central Connecticut,Ice Storm,,224912,2002-11-17 00:00:00,06:00:00,2002-11-21 00:00:00,08:00:00,Connecticut
17,18,SPP,Arkansas,Ice Storm,,43000,2002-12-03 00:00:00,18:30:00,2002-12-09 00:00:00,22:30:00,Arkansas
18,19,SERC,Northern Virginia to Fredericksburg,Winter Storm,63,130000,2002-12-11 00:00:00,13:09:00,2002-12-13 00:00:00,22:00:00,Virginia
19,20,WSCC,Northern and Central California,Winter Storm,180,1.5 million,2002-12-14 00:00:00,11:00:00,2002-12-19 00:00:00,16:00:00,California
20,21,WSCC,Northern and Central California,Winter Storm,56,385000,2002-12-19 00:00:00,06:00:00,2002-12-21 00:00:00,17:00:00,California
21,22,MAAC,Eastern Pennsylvania,Winter Storm,250,106000,2002-12-25 00:00:00,17:00:00,2002-12-26 00:00:00,05:00:00,Pennsylvania
22,23,MAAC,"Reading, York, Hanover, Hamburg Pennsylvania",Winter Storm,,95630,2002-12-25 00:00:00,10:00:00,2002-12-27 00:00:00,08:30:00,Pennsylvania
23,24,ECAR,"Cincinnati, Ohio",Cyber Threat From Internet ,,,2003-01-25 00:00:00,14:00:00,2003-01-26 00:00:00,02:00:00,Ohio
24,25,SERC,"Piedmont, North Carolina",Winter Ice Storm,1000,"over 340,000",2003-02-27 00:00:00,11:32:00,2003-03-01 00:00:00,08:00:00,North Carolina
25,26,ECAR,Lower Michigan Peninsula ,Ice Storm,300,425000,2003-04-03 00:00:00,19:00:00,2003-04-06 00:00:00,17:00:00,Michigan
26,27,NPCC,"New York, ",Severe Storm ,200-250,160000,2003-04-04 00:00:00,03:11:00,2003-04-05 00:00:00,14:00:00,New York
28,29,MAIN,"County of Waukesha,  Wisconsin, ",Vandalism,0,0,2003-04-28 00:00:00,15:41:00,2003-04-29 00:00:00,12:00:00,Wisconsin
29,30,SERC,"Central Georgia,",Severe Thunderstorms,130,"102,842 (Georgia)",2003-05-02 00:00:00,20:00:00,2003-05-03 00:00:00,08:00:00,Georgia
31,32,ERCOT,North Texas,Interruption of Firm ,476,192000,2003-05-15 00:00:00,02:52:00,2003-05-15 00:00:00,03:29:00,Texas
32,33,MAIN,Upper Michigan Peninsula,Flood,240,2,2003-05-15 00:00:00,14:00:00,2003-06-16 00:00:00,14:00:00,Michigan
33,34,WECC,Idaho,Public Appeal ,0,0,2003-06-15 00:00:00,15:12:00,2003-06-16 00:00:00,17:00:00,Idaho
35,36,WECC,"Phoenix, Arizona",Breaker Failure,1000,47000,2003-07-01 00:00:00,15:15:00,2003-07-01 00:00:00,15:50:00,Arizona
36,37,WECC,Northern California,Unit Tripped,200,1,2003-07-02 00:00:00,13:54:00,2003-07-02 00:00:00,15:59:00,California
37,38,ECAR,Lower Michigan Peninsula,Severe Thunderstorms,75-90 ,131000,2003-07-04 00:00:00,09:00:00,2003-07-06 00:00:00,16:00:00,Michigan
38,39,MAIN,Southeast Wisconsin,Severe Thunderstorms,150,52000,2003-07-04 00:00:00,06:00:00,2003-07-04 00:00:00,10:00:00,Wisconsin
39,40,ECAR,"Southwest Ohio, portions of Indiana",Severe Storms,200,55142,2003-07-04 00:00:00,23:41:00,2003-07-06 00:00:00,21:00:00,Indiana
40,40,ECAR,"Southwest Ohio, portions of Indiana",Severe Storms,200,55142,2003-07-04 00:00:00,23:41:00,2003-07-06 00:00:00,21:00:00,Ohio
41,41,MAIN,Northern Illinois,Severe Storms,80,130000,2003-07-05 00:00:00,03:00:00,2003-07-05 00:00:00,07:00:00,Illinois
42,42,MAIN,Northern Illinois,Severe Thunderstorms,,72000,2003-07-07 00:00:00,09:00:00,2003-07-07 00:00:00,15:00:00,Illinois
43,43,ECAR,Ohio,Severe Thunderstorms,11000,134500,2003-07-08 00:00:00,04:00:00,2003-07-11 00:00:00,16:00:00,Ohio
44,44,SERC,Northern Central and Eastern Virginia,Severe Thunderstorms,120,80000,2003-07-09 00:00:00,17:14:00,2003-07-09 00:00:00,19:09:00,Virginia
45,45,ERCOT,Texas,Hurricane Claudette,230-300,108000,2003-07-15 00:00:00,08:24:00,2003-07-21 00:00:00,10:30:00,Texas
46,46,MAAC,Pennsylvania,Severe Storms,500-1000,185000,2003-07-21 00:00:00,17:15:00,2003-07-24 00:00:00,05:33:00,Pennsylvania
47,47,WECC,Arizona,Breaker Closed,440,90000,2003-07-28 00:00:00,18:55:00,2003-07-28 00:00:00,20:35:00,Arizona
48,48,NPCC,Entire Con Edison System (five boroughs of NYC and Westchester County),Unknown *,11202,3125350,2003-08-14 00:00:00,16:11:00,2003-08-15 00:00:00,21:03:00,New York
49,49,ECAR,Geographic areas for MISO Reliability Coordination footprint:  Michigan and Ohio,Unknown *,"Approx. 18,500 MW, in MISO area:",,2003-08-14 00:00:00,15:00:00,,,Michigan
50,49,ECAR,Geographic areas for MISO Reliability Coordination footprint:  Michigan and Ohio,Unknown *,"Approx. 18,500 MW, in MISO area:",,2003-08-14 00:00:00,15:00:00,,,Ohio
51,49,ECAR,Geographic areas for MISO Reliability Coordination footprint:  Michigan and Ohio,Unknown *,"Approx. 18,500 MW, in MISO area:",,2003-08-14 00:00:00,15:00:00,,,Michigan
52,50,NPCC,New York State,Unknown *,22934,unknown,2003-08-14 00:00:00,16:10:00,2003-08-18 00:00:00,00:03:00,New York
53,51,NPCC,"New York- Buffalo to Albany; Ontario, Canada to Pennsylvania",Unknown *,,840137,2003-08-14 00:00:00,16:10:00,2003-08-14 00:00:00,23:48:00,New York
54,51,NPCC,"New York- Buffalo to Albany; Ontario, Canada to Pennsylvania",Unknown *,,840137,2003-08-14 00:00:00,16:10:00,2003-08-14 00:00:00,23:48:00,Pennsylvania
55,52,ECAR,"Northeast, Ohio",Unknown *,7000,1203000,2003-08-14 00:00:00,16:10:00,2003-08-16 00:00:00,20:27:00,Ohio
56,53,MAAC,"Northern New Jersey Erie, Pennsylvania  area",Unknown *,"4,100 MW (Northern NJ) and 400 MW, (Erie,  PA) area",,2003-08-14 00:00:00,16:10:00,,,New Jersey
57,53,MAAC,"Northern New Jersey Erie, Pennsylvania  area",Unknown *,"4,100 MW (Northern NJ) and 400 MW, (Erie,  PA) area",,2003-08-14 00:00:00,16:10:00,,,Pennsylvania
58,54,ECAR,Southeastern Michigan including all of Detroit,Unknown *,11000,2100000,2003-08-14 00:00:00,16:09:00,2003-08-16 00:00:00,07:00:00,Michigan
59,55,ECAR,"Southern Lower  Michigan and small areas near Flint, Alma, Saginaw, and Lansing Michigan",Unknown *,1007,101000,2003-08-14 00:00:00,16:09:00,2003-08-16 00:00:00,13:03:00,Michigan
60,56,NPCC,Southwestern Connecticut and a small portion of Western Massachusetts and Vermont,Unknown *,2500,,2003-08-14 00:00:00,16:10:00,2003-08-16 00:00:00,03:45:00,Connecticut
61,56,NPCC,Southwestern Connecticut and a small portion of Western Massachusetts and Vermont,Unknown *,2500,,2003-08-14 00:00:00,16:10:00,2003-08-16 00:00:00,03:45:00,Massachusetts
62,56,NPCC,Southwestern Connecticut and a small portion of Western Massachusetts and Vermont,Unknown *,2500,,2003-08-14 00:00:00,16:10:00,2003-08-16 00:00:00,03:45:00,Vermont
63,57,MAAC,"Maryland: Anne Arundel County, Baltimore County, Calvert County, Carroll County, Howard County, Montgomery County,  Prince George's and Baltimore City.",Severe Thunderstorms,625,"93,000 at peak 133,000 cumulative",2003-08-26 00:00:00,16:00:00,2003-08-29 00:00:00,12:00:00,Maryland
64,58,MAAC,"Washington, D.C.,  Montgomery County,  Prince Georges County, Maryland",Severe Thunderstorms,1500,153000,2003-08-26 00:00:00,16:22:00,2003-08-31 00:00:00,18:00:00,Maryland
65,58,MAAC,"Washington, D.C.,  Montgomery County,  Prince Georges County, Maryland",Severe Thunderstorms,1500,153000,2003-08-26 00:00:00,16:22:00,2003-08-31 00:00:00,18:00:00,Washington
66,59,MAIN,Upper Michigan Peninsula,Transmission  Equipment,310,4 (industrial),2003-09-07 00:00:00,05:19:00,2003-09-07 00:00:00,18:00:00,Michigan
68,61,MAAC,"Central Maryland (Baltimore City, Baltimore County, Anne Arundel County, Hartford County, Montgomery County, Calvert County, Prince George's County, Carroll County and Howard County)",Hurricane Isabel,2000,650000,2003-09-18 00:00:00,12:00:00,2003-09-26 00:00:00,22:50:00,Maryland
69,62,MAAC,"District of Columbia, Montgomery and Prince George's Counties, Maryland",Hurricane Isabel,,"Over 530,000 peak on 9/19/03",2003-09-18 00:00:00,16:20:00,2003-09-28 00:00:00,18:00:00,Maryland
70,63,SERC,Eastern North Carolina,Hurricane Isabel,peak 1655 ,"peak 320,00 9/18/03 7:00 p.m.",2003-09-18 00:00:00,11:45:00,2003-09-18 00:00:00,00:00:00,North Carolina
71,64,MAAC,"Maryland, West Virginia, Virginia and Pennsylvania",Hurricane Isabel,3085,237366,2003-09-18 00:00:00,14:00:00,2003-09-24 00:00:00,00:00:00,Maryland
72,64,MAAC,"Maryland, West Virginia, Virginia and Pennsylvania",Hurricane Isabel,3085,237366,2003-09-18 00:00:00,14:00:00,2003-09-24 00:00:00,00:00:00,Pennsylvania
73,64,MAAC,"Maryland, West Virginia, Virginia and Pennsylvania",Hurricane Isabel,3085,237366,2003-09-18 00:00:00,14:00:00,2003-09-24 00:00:00,00:00:00,Virginia
74,64,MAAC,"Maryland, West Virginia, Virginia and Pennsylvania",Hurricane Isabel,3085,237366,2003-09-18 00:00:00,14:00:00,2003-09-24 00:00:00,00:00:00,West Virginia
75,65,SERC,"North Eastern North Carolina, Eastern Central , and Northern Virginia",Hurricane Isabel,6512,1.8 million,2003-09-18 00:00:00,08:20:00,2003-09-29 00:00:00,22:42:00,North Carolina
76,65,SERC,"North Eastern North Carolina, Eastern Central , and Northern Virginia",Hurricane Isabel,6512,1.8 million,2003-09-18 00:00:00,08:20:00,2003-09-29 00:00:00,22:42:00,Virginia
77,66,SERC,Triangle and Tridad (Greensboro – High Point)  Areas North Carolina - Northern Region,Hurricane Isabel,500-700,"Under 50,000",2003-09-18 00:00:00,15:32:00,2003-09-19 00:00:00,17:00:00,North Carolina
78,67,WECC ,"San Diego County, California",Wild Fire,,"108,000 (Dist. And Trans. Combined)",2003-10-26 00:00:00,01:44:00,2003-11-18 00:00:00,10:54:00,California
79,68,MAAC,Maryland/Virginia border,Tornado,350,1,2003-11-05 00:00:00,15:16:00,2003-11-05 00:00:00,15:54:00,Maryland
80,68,MAAC,Maryland/Virginia border,Tornado,350,1,2003-11-05 00:00:00,15:16:00,2003-11-05 00:00:00,15:54:00,Virginia
81,69,ECAR,Lower Michigan Peninsula,Wind Storm,75-90 ,245000,2003-11-12 00:00:00,17:00:00,2003-11-16 00:00:00,18:00:00,Michigan
82,70,MAIN,Northern Illinois,High Winds,Est. 371.1,51000,2003-11-12 00:00:00,17:00:00,2003-11-12 00:00:00,19:00:00,Illinois
83,71,ECAR,Southeastern Michigan,Storm with High Winds,Est. 75,160000,2003-11-12 00:00:00,18:00:00,2003-11-16 00:00:00,17:00:00,Michigan
84,72,MAAC,"Central Maryland (Baltimore City, Baltimore County, Anne Arundel County, Harford County, Montgomery County, Calvert County, Prince George's County, Carroll County and Howard County)",High Winds,375,110000,2003-11-13 00:00:00,06:00:00,2003-11-16 00:00:00,16:00:00,Maryland
85,73,NPCC,New York,Storm with High Winds,Approx. 180,50280,2003-11-13 00:00:00,07:30:00,2003-11-14 00:00:00,06:30:00,New York
86,74,SERC,"Northern Virginia, Richmond area, Eastern Virginia",Wind Storm,300,67000,2003-11-13 00:00:00,13:40:00,2003-11-13 00:00:00,15:51:00,Virginia
87,75,MAAC,"Washington, D.C., Montgomery County, Prince Georges County, Md",Major Wind Storm,Est. 400,"104,195 at 5:23 p.m. 11/13/03",2003-11-13 00:00:00,11:00:00,2003-11-14 00:00:00,07:30:00,Washington
88,76,NPCC,Cape Cod and part of SE Massachusetts,Wild Fire – Transmission Equipment,630,300000,2003-12-01 00:00:00,18:16:00,2003-12-01 00:00:00,20:11:00,Massachusetts
90,78,MAIN,Northeast Wisconsin and Central/Western Upper Peninsula of Michigan,Fault on 138 KV line,650,6 (utilities),2003-12-04 00:00:00,22:34:00,2003-12-07 00:00:00,08:30:00,Michigan
91,78,MAIN,Northeast Wisconsin and Central/Western Upper Peninsula of Michigan,Fault on 138 KV line,650,6 (utilities),2003-12-04 00:00:00,22:34:00,2003-12-07 00:00:00,08:30:00,Wisconsin
92,79,MAIN,Upper Peninsula of Michigan and Northeastern Wisconsin,Fault on 138 KV line,500,36000,2003-12-04 00:00:00,22:15:00,2003-12-08 00:00:00,08:30:00,Michigan
93,79,MAIN,Upper Peninsula of Michigan and Northeastern Wisconsin,Fault on 138 KV line,500,36000,2003-12-04 00:00:00,22:15:00,2003-12-08 00:00:00,08:30:00,Wisconsin
94,80,MAIN,Northeast Wisconsin and Central/Western Upper Peninsula of Michigan,Transmission Equipment,14,2,2003-12-05 00:00:00,07:00:00,2003-12-05 00:00:00,20:00:00,Michigan
95,80,MAIN,Northeast Wisconsin and Central/Western Upper Peninsula of Michigan,Transmission Equipment,14,2,2003-12-05 00:00:00,07:00:00,2003-12-05 00:00:00,20:00:00,Wisconsin
96,81,FRCC,State of Florida - Dade County,Transmission Equipment,27,16500,2003-12-05 00:00:00,04:49:00,2003-12-05 00:00:00,06:25:00,Florida
97,82,WECC,"San Francisco, California",Cable Failure,150,120000,2003-12-20 00:00:00,15:51:00,2003-12-21 00:00:00,23:45:00,California
98,83,WECC,Central California Coast,Earthquake,220,109750,2003-12-22 00:00:00,11:15:00,2003-12-22 00:00:00,11:16:00,California
99,84,WECC,Northern California,Winter Storm,160,241000,2003-12-28 00:00:00,21:00:00,2004-01-01 00:00:00,11:30:00,California
100,85,WECC,Northern California,Winter Storm,170,263000,2004-01-01 00:00:00,07:30:00,2004-01-02 00:00:00,16:00:00,California
102,87,NPCC,"Lake Placid/Saranac, New York",Public Appeal to Reduce Load,100,18600,2004-01-08 00:00:00,15:00:00,2004-01-10 00:00:00,19:00:00,New York
103,88,NPCC,"Lake Placid/Saranac, New York",Public Appeal to Reduce Load,100,18600,2004-01-14 00:00:00,06:00:00,2004-01-17 00:00:00,12:00:00,New York
104,89,SERC,Central and Eastern North Carolina and Northern and Eastern South Carolina,Ice Storm,475,9905,2004-01-26 00:00:00,16:00:00,2004-01-29 00:00:00,06:30:00,North Carolina
105,89,SERC,Central and Eastern North Carolina and Northern and Eastern South Carolina,Ice Storm,475,9905,2004-01-26 00:00:00,16:00:00,2004-01-29 00:00:00,06:30:00,South Carolina
106,90,SERC ,Central South Carolina,Ice Storm,500-700,150000,2004-01-26 00:00:00,10:00:00,2004-01-28 00:00:00,08:00:00,South Carolina
107,91,SERC,North and Central area of Georgia,Ice Storm,Less than 150,30689,2004-01-26 00:00:00,14:00:00,2004-01-27 00:00:00,20:00:00,Georgia
108,92, MAAC,"Harford County, Maryland",Ice Storm,Approx. 300,"Approx. 70,000",2004-01-28 00:00:00,13:09:00,2004-01-29 00:00:00,05:00:00,Maryland
109,93,MAAC,"Maryland, Southeastern West Virginia, Northern Virginia, Northern Pennsylvania and South Central Pennsylvania",Ice Storm,60,87456,2004-02-05 00:00:00,20:00:00,2004-02-09 00:00:00,20:00:00,Maryland
110,93,MAAC,"Maryland, Southeastern West Virginia, Northern Virginia, Northern Pennsylvania and South Central Pennsylvania",Ice Storm,60,87456,2004-02-05 00:00:00,20:00:00,2004-02-09 00:00:00,20:00:00,Pennsylvania
111,93,MAAC,"Maryland, Southeastern West Virginia, Northern Virginia, Northern Pennsylvania and South Central Pennsylvania",Ice Storm,60,87456,2004-02-05 00:00:00,20:00:00,2004-02-09 00:00:00,20:00:00,Virginia
112,93,MAAC,"Maryland, Southeastern West Virginia, Northern Virginia, Northern Pennsylvania and South Central Pennsylvania",Ice Storm,60,87456,2004-02-05 00:00:00,20:00:00,2004-02-09 00:00:00,20:00:00,West Virginia
114,95,WECC,"San Francisco Bay area, California",Lightning struck Intertie Breaker ,220, PG&E,2004-02-17 00:00:00,14:25:00,2004-02-17 00:00:00,23:57:00,California
115,96,WECC,Northern California,Winter Storm,240,505000,2004-02-25 00:00:00,00:01:00,2004-02-26 00:00:00,10:00:00,California
116,97,SERC,Georgia,Severe Storm,10,47165,2004-02-26 00:00:00,00:00:00,2004-02-26 00:00:00,01:30:00,Georgia
117,98,ERCOT,North Texas,High Winds - Severe Storm,Less than 300,63000,2004-03-04 00:00:00,05:00:00,2004-03-16 00:00:00,14:45:00,Texas
118,99,SERC,North and South Carolina,Severe Storm,1000,206000,2004-03-07 00:00:00,18:30:00,2004-03-09 00:00:00,08:00:00,South Carolina
119,100,WECC,Southern California not including LA,Inadequate Resources,300,"Approx. 70,000",2004-03-08 00:00:00,18:22:00,2004-03-08 00:00:00,18:55:00,California
120,100,WECC,Southern California not including LA,Inadequate Resources,300,"Approx. 70,000",2004-03-08 00:00:00,18:22:00,2004-03-08 00:00:00,18:55:00,Louisiana
121,101,WECC,"El Paso, Texas",Faulty Switch,Approx. 300,"Approx. 100,000",2004-03-17 00:00:00,13:27:00,2004-03-17 00:00:00,14:06:00,Texas
122,102,ERCOT,"Houston, Texas and surrounding suburban areas",Thunderstorms,Approx. 100,"85,000 at peak",2004-04-10 00:00:00,20:00:00,2004-04-11 00:00:00,16:00:00,Texas
123,103,FRCC,FPL's service territory mostly in Naples and Ft. Myers Florida,Storm with High Winds,250,179000,2004-04-12 00:00:00,05:30:00,2004-04-12 00:00:00,10:15:00,Florida
124,104,WECC,Snohomish County Washington,Strong Winds,Approx. 300,187000,2004-04-27 00:00:00,12:35:00,2004-04-30 00:00:00,12:00:00,Washington
125,105,WECC,Central and Southern California,Heat Storm,662,Approx. 940,2004-05-03 00:00:00,14:30:00,2004-05-03 00:00:00,19:00:00,California
126,106,ERCOT,"Houston, Texas and surrounding suburban areas",Strong Thunderstorms,Approx. 85,"62,500 at peak ",2004-05-11 00:00:00,15:30:00,2004-05-11 00:00:00,18:00:00,Texas
129,109,ECAR,"Lower peninsula of Michigan following cities:  Grand Rapids, Kalamazoo, Battle Creek, Jackson, Bronson, Jonesville, Flint",Severe Thunderstorms,200,248209,2004-05-21 00:00:00,13:00:00,2004-05-25 00:00:00,12:00:00,Michigan
130,110,ECAR,"Northern and Southern Michigan, AEP Fort Wayne/Michigan Region, Buchanan, Elkhart, New Buffalo, South Bend, St. Joseph, Three Rivers areas",Severe Thunderstorms,303,122600,2004-05-21 00:00:00,11:00:00,2004-05-26 00:00:00,21:00:00,Michigan
131,111,ECAR,Southeast Michigan,Severe Thunderstorms,630,"Greater than 250,000",2004-05-21 00:00:00,16:00:00,2004-05-24 00:00:00,20:00:00,Michigan
132,112,MAAC,"Western Pennsylvania, Northern West Virginia, Western Maryland, Northern Virginia",High Winds and Heavy Rains,"60 at peak, ","94,366 at peak, ",2004-05-21 00:00:00,05:30:00,2004-05-25 00:00:00,00:00:00,Maryland
133,112,MAAC,"Western Pennsylvania, Northern West Virginia, Western Maryland, Northern Virginia",High Winds and Heavy Rains,"60 at peak, ","94,366 at peak, ",2004-05-21 00:00:00,05:30:00,2004-05-25 00:00:00,00:00:00,Pennsylvania
134,112,MAAC,"Western Pennsylvania, Northern West Virginia, Western Maryland, Northern Virginia",High Winds and Heavy Rains,"60 at peak, ","94,366 at peak, ",2004-05-21 00:00:00,05:30:00,2004-05-25 00:00:00,00:00:00,Virginia
135,112,MAAC,"Western Pennsylvania, Northern West Virginia, Western Maryland, Northern Virginia",High Winds and Heavy Rains,"60 at peak, ","94,366 at peak, ",2004-05-21 00:00:00,05:30:00,2004-05-25 00:00:00,00:00:00,West Virginia
136,113,FRCC ,"Florida counties of Gadsden, Wakulla, Leon, and Liberty",Public Appeals,0,0,2004-05-28 00:00:00,12:00:00,2004-05-31 00:00:00,00:00:00,Florida
137,114,FRCC,"Florida counties of Gadsden, Wakulla, Leon, and Liberty",Public Appeals,0,0,2004-05-28 00:00:00,12:00:00,2004-05-31 00:00:00,00:00:00,Florida
138,115,FRCC,"Florida counties of Gadsden, Wakulla, Leon, and Liberty",Public Appeals ,0,0,2004-05-28 00:00:00,12:00:00,2004-05-31 00:00:00,00:00:00,Florida
139,116,ERCOT,"Collin, Dallas, Denton, Ellis, Parker, and Tarrant Counties, Texas ",Severe Storms with Strong Winds,1900,500000,2004-06-01 00:00:00,17:00:00,2004-06-02 00:00:00,01:00:00,Texas
140,117,ECAR,"Shreveport, Louisiana",Severe  Thunderstorms with Strong Winds,350,59057,2004-06-02 00:00:00,01:46:00,2004-06-07 00:00:00,16:00:00,Louisiana
141,118,ECAR,"Tulsa, Oklahoma",Severe Thunderstorms with Strong Winds,280,56874,2004-06-02 00:00:00,02:35:00,2004-06-06 00:00:00,18:00:00,Oklahoma
142,119,MAPP,"Lincoln, Nebraska",Tornado,428,120212,2004-06-12 00:00:00,17:37:00,2004-06-12 00:00:00,17:41:00,Nebraska
143,120,WECC ,"Phoenix, Arizona",Fault on Line,200,30000,2004-06-14 00:00:00,07:41:00,2004-06-14 00:00:00,14:39:00,Arizona
144,121,SERC,Georgia and Alabama,Thunderstorms,50,50595,2004-06-23 00:00:00,19:00:00,2004-06-23 00:00:00,20:00:00,Alabama
145,121,SERC,Georgia and Alabama,Thunderstorms,50,50595,2004-06-23 00:00:00,19:00:00,2004-06-23 00:00:00,20:00:00,Georgia
146,122,WECC,Southern Idaho,Load Shedding,157,35000,2004-06-23 00:00:00,17:35:00,2004-06-23 00:00:00,19:10:00,Idaho
147,123,WECC,"Metro Phoenix, Arizona",Fire/Substation Multiple Public Appeals,-,-,2004-07-06 00:00:00,06:00:00,2004-08-09 00:00:00,12:00:00,Arizona
148,124,WECC ,"Metro Phoenix, Arizona",Fire/Substation Multiple Public Appeals,-,-,2004-07-06 00:00:00,06:00:00,2004-08-09 00:00:00,12:00:00,Arizona
149,125,SERC,Central Virginia,Severe Thunderstorms,120,88110,2004-07-07 00:00:00,13:30:00,2004-07-07 00:00:00,23:54:00,Virginia
150,126,FRCC,"Leon  County, Florida",Units Tripped,283,42124,2004-07-13 00:00:00,13:34:00,2004-07-13 00:00:00,17:15:00,Florida
151,127,ECAR,"West, West Central and Southern Indiana",Severe Thunderstorms,600,135000,2004-07-13 00:00:00,16:30:00,2004-07-17 00:00:00,08:00:00,Indiana
153,129,WECC,"Soledad Canyon near Acton, California",Wildfire/Shed Interruptible Load,214,-,2004-07-20 00:00:00,14:26:00,2004-07-21 00:00:00,02:00:00,California
154,130,MAIN,"Chicago, Illinois",Severe Thunderstorms,Approx. 200,200000,2004-07-21 00:00:00,17:30:00,2004-07-22 00:00:00,19:00:00,Illinois
155,131,SPP,Southwest Louisiana in the Acadia Parish vicinity,Public Appeal  ,-,-,2004-07-24 00:00:00,15:45:00,2004-07-25 00:00:00,21:00:00,Louisiana
156,132,SERC,"Georgia, Alabama, Florida panhandle, Southern Mississippi",Severe Storms,61,61004,2004-07-25 00:00:00,22:00:00,2004-07-25 00:00:00,23:00:00,Alabama
157,132,SERC,"Georgia, Alabama, Florida panhandle, Southern Mississippi",Severe Storms,61,61004,2004-07-25 00:00:00,22:00:00,2004-07-25 00:00:00,23:00:00,Florida
158,132,SERC,"Georgia, Alabama, Florida panhandle, Southern Mississippi",Severe Storms,61,61004,2004-07-25 00:00:00,22:00:00,2004-07-25 00:00:00,23:00:00,Georgia
159,132,SERC,"Georgia, Alabama, Florida panhandle, Southern Mississippi",Severe Storms,61,61004,2004-07-25 00:00:00,22:00:00,2004-07-25 00:00:00,23:00:00,Mississippi
160,133,SPP,Southeast Texas,Unplanned Generator Outage/High Loads Made Public Appeal,-,-,2004-08-02 00:00:00,10:00:00,2004-08-02 00:00:00,20:00:00,Texas
161,134,MAIN,Northern Illinois,Severe Storm,127,127000,2004-08-03 00:00:00,21:00:00,2004-08-04 00:00:00,07:00:00,Illinois
162,135,WECC,"Northwest Orange County, California",Fault at Barre Substation,480,182000,2004-08-04 00:00:00,12:46:00,2004-08-04 00:00:00,13:50:00,California
163,136,PR,Whole Island of Puerto Rico,Two Large Units Tripped,451.7,259478,2004-08-09 00:00:00,08:23:00,2004-08-09 00:00:00,11:10:00,Puerto Rico
164,137,FRCC,"Eastern Hillsborough, Polk County, Florida",Hurricane Charley,250,78000,2004-08-13 00:00:00,16:43:00,2004-08-13 00:00:00,20:24:00,Florida
165,138,FRCC ,"Florida counties of Collier, Hendry, Glades, Highlands, Charlotte, Desoto, Lee, Hardee, and Polk",Hurricane Charley,700,200000,2004-08-13 00:00:00,13:30:00,2004-08-13 00:00:00,00:00:00,Florida
166,139,FRCC,"Florida counties of Hardee, Highlands, Lake, Orange, Osceola, Polk, Seminole, Volusia",Hurricane Charley,1300,502000,2004-08-13 00:00:00,08:00:00,2004-08-23 00:00:00,00:00:00,Florida
167,140,FRCC,"New Smyrna Beach, Florida",Hurricane Charley,65,23000,2004-08-13 00:00:00,22:04:00,2004-08-14 00:00:00,16:23:00,Florida
168,141,FRCC,West Coast of Florida from Naples to Charlotte and in an area centered around Daytona Beach,Hurricane Charley,1400,1200000,2004-08-13 00:00:00,15:00:00,2004-08-13 00:00:00,23:00:00,Florida
169,142,SERC,Central and Eastern North Carolina and Northern and Eastern South Carolina,Hurricane Charley,500,94000,2004-08-14 00:00:00,13:00:00,2004-08-14 00:00:00,23:00:00,North Carolina
