Index, NERC Region,Area Affected,Event Type,Demand Loss (MW),Number of Customers Affected ,Date Event Began,Time Event Began,Date of Restoration,Time of Restoration
1,SPP,Metropolitan Kansas City Area,Ice Storm,500-600,270000,2002-01-29,,,
2,SPP,Missouri,Ice Storm,210,95000,2002-01-30,16:00:00,2002-02-10,21:00:00
3,SPP,Oklahoma,Ice Storm,500,1881134,2002-01-30,06:00:00,2002-02-07,12:00:00
4,WSCC,California,Interruption of Firm Load,300,255000,2002-02-27,10:48:00,2002-02-27,11:35:00
5,ECAR,Lower Peninsula of Michigan,Severe Weather,190,190000,2002-03-09,00:00:00,2002-03-11,12:00:00
6,WSCC,Arizona,Vandalism/,0,0,2002-04-08,15:00:00,2002-04-09,00:00:00
7,WSCC,California,Interruption of Firm Power,240,1 PG&E,2002-07-09,12:27:00,2002-07-09,19:54:00
8,WSCC,California,Interruption of Firm Power (Unit Tripped),240,1 PG&E,2002-07-19,11:51:00,2002-07-19,16:30:00
9,NPCC,New York,Fire,278,63500,2002-07-20,12:40:00,2002-07-20,20:12:00
10,MAIN,Illinois,Interruption of Firm Power,232,53565,2002-08-02,12:43:00,2002-08-02,18:36:00
11,SERC,Florida,Interruption of Firm Power,51,25000,2002-08-09,08:23:00,2002-08-09,12:13:00
12,WSCC,California,Interruption of Firm Power,120,1 PG&E,2002-08-25,03:41:00,2002-08-25,09:17:00
13,SERC,Florida,Severe Weather,67.6,25000,2002-08-28,14:09:00,2002-08-28,15:38:00
14,SPP,Coastal Areas of Southern Louisiana,Hurricane Lily,,242910,2002-10-03,03:33:00,2002-10-12,00:00:00
15,WSCC,Northern and Central California,Winter Storm,270,939000,2002-11-06,22:00:00,2002-11-10,12:00:00
16,NPPC,"Northport, NY",Cable Tripped,0,0,2002-11-17,15:48:00,,
17,NPCC,Northwest and North Central Connecticut,Ice Storm,,224912,2002-11-17,06:00:00,2002-11-21,08:00:00
18,SPP,Arkansas,Ice Storm,,43000,2002-12-03,18:30:00,2002-12-09,22:30:00
19,SERC,Northern Virginia to Fredericksburg,Winter Storm,63,130000,2002-12-11,13:09:00,2002-12-13,22:00:00
20,WSCC,Northern and Central California,Winter Storm,180,1.5 million,2002-12-14,11:00:00,2002-12-19,16:00:00
21,WSCC,Northern and Central California,Winter Storm,56,385000,2002-12-19,06:00:00,2002-12-21,17:00:00
22,MAAC,Eastern Pennsylvania,Winter Storm,250,106000,2002-12-25,17:00:00,2002-12-26,05:00:00
23,MAAC,"Reading, York, Hanover, Hamburg Pennsylvania",Winter Storm,,95630,2002-12-25,10:00:00,2002-12-27,08:30:00
24,ECAR,"Cincinnati, Ohio",Cyber Threat From Internet ,,,2003-01-25,14:00:00,2003-01-26,02:00:00
25,SERC,"Piedmont, North Carolina",Winter Ice Storm,1000,"over 340,000",2003-02-27,11:32:00,2003-03-01,08:00:00
26,ECAR,Lower Michigan Peninsula ,Ice Storm,300,425000,2003-04-03,19:00:00,2003-04-06,17:00:00
27,NPCC,"New York, ",Severe Storm ,200-250,160000,2003-04-04,03:11:00,2003-04-05,14:00:00
28,ERCOT,"Cities of Bryan,",Relaying Malfunction,212,68530,2003-04-15,11:00:00,2003-04-15,14:06:00
29,MAIN,"County of Waukesha,  Wisconsin, ",Vandalism,0,0,2003-04-28,15:41:00,2003-04-29,12:00:00
30,SERC,"Central Georgia,",Severe Thunderstorms,130,"102,842 (Georgia)",2003-05-02,20:00:00,2003-05-03,08:00:00
31,SERC,"Piedmont, North and",Severe Thunderstorms,1500,139000,2003-05-02,17:00:00,2003-05-04,12:00:00
32,ERCOT,North Texas,Interruption of Firm ,476,192000,2003-05-15,02:52:00,2003-05-15,03:29:00
33,MAIN,Upper Michigan Peninsula,Flood,240,2,2003-05-15,14:00:00,2003-06-16,14:00:00
34,WECC,Idaho,Public Appeal ,0,0,2003-06-15,15:12:00,2003-06-16,17:00:00
35,SPP,Coastal areas of,Tropical Storm Bill,,179299,2003-06-30,13:00:00,2003-06-30,00:00:00
36,WECC,"Phoenix, Arizona",Breaker Failure,1000,47000,2003-07-01,15:15:00,2003-07-01,15:50:00
37,WECC,Northern California,Unit Tripped,200,1,2003-07-02,13:54:00,2003-07-02,15:59:00
38,ECAR,Lower Michigan Peninsula,Severe Thunderstorms,75-90 ,131000,2003-07-04,09:00:00,2003-07-06,16:00:00
39,MAIN,Southeast Wisconsin,Severe Thunderstorms,150,52000,2003-07-04,06:00:00,2003-07-04,10:00:00
40,ECAR,"Southwest Ohio, portions of Indiana",Severe Storms,200,55142,2003-07-04,23:41:00,2003-07-06,21:00:00
41,MAIN,Northern Illinois,Severe Storms,80,130000,2003-07-05,03:00:00,2003-07-05,07:00:00
42,MAIN,Northern Illinois,Severe Thunderstorms,,72000,2003-07-07,09:00:00,2003-07-07,15:00:00
43,ECAR,Ohio,Severe Thunderstorms,11000,134500,2003-07-08,04:00:00,2003-07-11,16:00:00
44,SERC,Northern Central and Eastern Virginia,Severe Thunderstorms,120,80000,2003-07-09,17:14:00,2003-07-09,19:09:00
45,ERCOT,Texas,Hurricane Claudette,230-300,108000,2003-07-15,08:24:00,2003-07-21,10:30:00
46,MAAC,Pennsylvania,Severe Storms,500-1000,185000,2003-07-21,17:15:00,2003-07-24,05:33:00
47,WECC,Arizona,Breaker Closed,440,90000,2003-07-28,18:55:00,2003-07-28,20:35:00
48,NPCC,Entire Con Edison System (five boroughs of NYC and Westchester County),Unknown *,11202,3125350,2003-08-14,16:11:00,2003-08-15,21:03:00
49,ECAR,Geographic areas for MISO Reliability Coordination footprint:  Michigan and Ohio,Unknown *,"Approx. 18,500 MW, in MISO area:",,2003-08-14,15:00:00,,
50,NPCC,New York State,Unknown *,22934,unknown,2003-08-14,16:10:00,2003-08-18,00:03:00
51,NPCC,"New York- Buffalo to Albany; Ontario, Canada to Pennsylvania",Unknown *,,840137,2003-08-14,16:10:00,2003-08-14,23:48:00
52,ECAR,"Northeast, Ohio",Unknown *,7000,1203000,2003-08-14,16:10:00,2003-08-16,20:27:00
53,MAAC,"Northern New Jersey Erie, Pennsylvania  area",Unknown *,"4,100 MW (Northern NJ) and 400 MW, (Erie,  PA) area",,2003-08-14,16:10:00,,
54,ECAR,Southeastern Michigan including all of Detroit,Unknown *,11000,2100000,2003-08-14,16:09:00,2003-08-16,07:00:00
55,ECAR,"Southern Lower  Michigan and small areas near Flint, Alma, Saginaw, and Lansing Michigan",Unknown *,1007,101000,2003-08-14,16:09:00,2003-08-16,13:03:00
56,NPCC,Southwestern Connecticut and a small portion of Western Massachusetts and Vermont,Unknown *,2500,,2003-08-14,16:10:00,2003-08-16,03:45:00
57,MAAC,"Maryland: Anne Arundel County, Baltimore County, Calvert County, Carroll County, Howard County, Montgomery County,  Prince George's and Baltimore City.",Severe Thunderstorms,625,"93,000 at peak 133,000 cumulative",2003-08-26,16:00:00,2003-08-29,12:00:00
58,MAAC,"Washington, D.C.,  Montgomery County,  Prince Georges County, Maryland",Severe Thunderstorms,1500,153000,2003-08-26,16:22:00,2003-08-31,18:00:00
59,MAIN,Upper Michigan Peninsula,Transmission  Equipment,310,4 (industrial),2003-09-07,05:19:00,2003-09-07,18:00:00
60,MAAC,"All PPL including: Williamsport, Harrisburg, Lancaster, Scranton and Allentown areas",Hurricane Isabel,1300,425000,2003-09-18,21:00:00,2003-09-21,17:00:00
61,MAAC,"Central Maryland (Baltimore City, Baltimore County, Anne Arundel County, Hartford County, Montgomery County, Calvert County, Prince George's County, Carroll County and Howard County)",Hurricane Isabel,2000,650000,2003-09-18,12:00:00,2003-09-26,22:50:00
62,MAAC,"District of Columbia, Montgomery and Prince George's Counties, Maryland",Hurricane Isabel,,"Over 530,000 peak on 9/19/03",2003-09-18,16:20:00,2003-09-28,18:00:00
63,SERC,Eastern North Carolina,Hurricane Isabel,peak 1655 ,"peak 320,00 9/18/03 7:00 p.m.",2003-09-18,11:45:00,2003-09-18,00:00:00
64,MAAC,"Maryland, West Virginia, Virginia and Pennsylvania",Hurricane Isabel,3085,237366,2003-09-18,14:00:00,2003-09-24,00:00:00
65,SERC,"North Eastern North Carolina, Eastern Central , and Northern Virginia",Hurricane Isabel,6512,1.8 million,2003-09-18,08:20:00,2003-09-29,22:42:00
66,SERC,Triangle and Tridad (Greensboro – High Point)  Areas North Carolina - Northern Region,Hurricane Isabel,500-700,"Under 50,000",2003-09-18,15:32:00,2003-09-19,17:00:00
67,WECC ,"San Diego County, California",Wild Fire,,"108,000 (Dist. And Trans. Combined)",2003-10-26,01:44:00,2003-11-18,10:54:00
68,MAAC,Maryland/Virginia border,Tornado,350,1,2003-11-05,15:16:00,2003-11-05,15:54:00
69,ECAR,Lower Michigan Peninsula,Wind Storm,75-90 ,245000,2003-11-12,17:00:00,2003-11-16,18:00:00
70,MAIN,Northern Illinois,High Winds,Est. 371.1,51000,2003-11-12,17:00:00,2003-11-12,19:00:00
71,ECAR,Southeastern Michigan,Storm with High Winds,Est. 75,160000,2003-11-12,18:00:00,2003-11-16,17:00:00
72,MAAC,"Central Maryland (Baltimore City, Baltimore County, Anne Arundel County, Harford County, Montgomery County, Calvert County, Prince George's County, Carroll County and Howard County)",High Winds,375,110000,2003-11-13,06:00:00,2003-11-16,16:00:00
73,NPCC,New York,Storm with High Winds,Approx. 180,50280,2003-11-13,07:30:00,2003-11-14,06:30:00
74,SERC,"Northern Virginia, Richmond area, Eastern Virginia",Wind Storm,300,67000,2003-11-13,13:40:00,2003-11-13,15:51:00
75,MAAC,"Washington, D.C., Montgomery County, Prince Georges County, Md",Major Wind Storm,Est. 400,"104,195 at 5:23 p.m. 11/13/03",2003-11-13,11:00:00,2003-11-14,07:30:00
76,NPCC,Cape Cod and part of SE Massachusetts,Wild Fire – Transmission Equipment,630,300000,2003-12-01,18:16:00,2003-12-01,20:11:00
77,WECC,Eastern portions of King County and Pierce County,High Winds,175,"200,000 (Peak)",2003-12-04,07:00:00,2003-12-08,07:00:00
78,MAIN,Northeast Wisconsin and Central/Western Upper Peninsula of Michigan,Fault on 138 KV line,650,6 (utilities),2003-12-04,22:34:00,2003-12-07,08:30:00
79,MAIN,Upper Peninsula of Michigan and Northeastern Wisconsin,Fault on 138 KV line,500,36000,2003-12-04,22:15:00,2003-12-08,08:30:00
80,MAIN,Northeast Wisconsin and Central/Western Upper Peninsula of Michigan,Transmission Equipment,14,2,2003-12-05,07:00:00,2003-12-05,20:00:00
81,FRCC,State of Florida - Dade County,Transmission Equipment,27,16500,2003-12-05,04:49:00,2003-12-05,06:25:00
82,WECC,"San Francisco, California",Cable Failure,150,120000,2003-12-20,15:51:00,2003-12-21,23:45:00
83,WECC,Central California Coast,Earthquake,220,109750,2003-12-22,11:15:00,2003-12-22,11:16:00
84,WECC,Northern California,Winter Storm,160,241000,2003-12-28,21:00:00,2004-01-01,11:30:00
85,WECC,Northern California,Winter Storm,170,263000,2004-01-01,07:30:00,2004-01-02,16:00:00
86,WECC,King County,Snow Storm,150,145000,2004-01-07,00:00:00,2004-01-10,17:00:00
87,NPCC,"Lake Placid/Saranac, New York",Public Appeal to Reduce Load,100,18600,2004-01-08,15:00:00,2004-01-10,19:00:00
88,NPCC,"Lake Placid/Saranac, New York",Public Appeal to Reduce Load,100,18600,2004-01-14,06:00:00,2004-01-17,12:00:00
89,SERC,Central and Eastern North Carolina and Northern and Eastern South Carolina,Ice Storm,475,9905,2004-01-26,16:00:00,2004-01-29,06:30:00
90,SERC ,Central South Carolina,Ice Storm,500-700,150000,2004-01-26,10:00:00,2004-01-28,08:00:00
91,SERC,North and Central area of Georgia,Ice Storm,Less than 150,30689,2004-01-26,14:00:00,2004-01-27,20:00:00
92, MAAC,"Harford County, Maryland",Ice Storm,Approx. 300,"Approx. 70,000",2004-01-28,13:09:00,2004-01-29,05:00:00
93,MAAC,"Maryland, Southeastern West Virginia, Northern Virginia, Northern Pennsylvania and South Central Pennsylvania",Ice Storm,60,87456,2004-02-05,20:00:00,2004-02-09,20:00:00
94,NPCC,"Lake Colby, Lake Placid, Tupper Lake",Public Appeal to Reduce Load,Approx. 30  ,18600,2004-02-14,20:00:00,2004-02-16,12:00:00
95,WECC,"San Francisco Bay area, California",Lightning struck Intertie Breaker ,220, PG&E,2004-02-17,14:25:00,2004-02-17,23:57:00
96,WECC,Northern California,Winter Storm,240,505000,2004-02-25,00:01:00,2004-02-26,10:00:00
97,SERC,Georgia,Severe Storm,10,47165,2004-02-26,00:00:00,2004-02-26,01:30:00
98,ERCOT,North Texas,High Winds - Severe Storm,Less than 300,63000,2004-03-04,05:00:00,2004-03-16,14:45:00
99,SERC,North and South Carolina,Severe Storm,1000,206000,2004-03-07,18:30:00,2004-03-09,08:00:00
100,WECC,Southern California not including LA,Inadequate Resources,300,"Approx. 70,000",2004-03-08,18:22:00,2004-03-08,18:55:00
101,WECC,"El Paso, Texas",Faulty Switch,Approx. 300,"Approx. 100,000",2004-03-17,13:27:00,2004-03-17,14:06:00
102,ERCOT,"Houston, Texas and surrounding suburban areas",Thunderstorms,Approx. 100,"85,000 at peak",2004-04-10,20:00:00,2004-04-11,16:00:00
103,FRCC,FPL's service territory mostly in Naples and Ft. Myers Florida,Storm with High Winds,250,179000,2004-04-12,05:30:00,2004-04-12,10:15:00
104,WECC,Snohomish County Washington,Strong Winds,Approx. 300,187000,2004-04-27,12:35:00,2004-04-30,12:00:00
105,WECC,Central and Southern California,Heat Storm,662,Approx. 940,2004-05-03,14:30:00,2004-05-03,19:00:00
106,ERCOT,"Houston, Texas and surrounding suburban areas",Strong Thunderstorms,Approx. 85,"62,500 at peak ",2004-05-11,15:30:00,2004-05-11,18:00:00
107,ECAR,Akron and Youngstown areas,Severe Thunderstorms,"133 on 5/21/04  between 3:00 a.m. and 4:00  a.m., 392 on 5/21/04 between 4:00 p.m. and 5:00 p.m.",281000,2004-05-21,02:00:00,2004-05-24,00:00:00
108,ECAR,Cleveland area,Severe Thunderstorms,177 on 5/21/04 between 3:00 p.m. and 5:00 p.m.,127000,2004-05-21,02:00:00,2004-05-24,00:00:00
109,ECAR,"Lower peninsula of Michigan following cities:  Grand Rapids, Kalamazoo, Battle Creek, Jackson, Bronson, Jonesville, Flint",Severe Thunderstorms,200,248209,2004-05-21,13:00:00,2004-05-25,12:00:00
110,ECAR,"Northern and Southern Michigan, AEP Fort Wayne/Michigan Region, Buchanan, Elkhart, New Buffalo, South Bend, St. Joseph, Three Rivers areas",Severe Thunderstorms,303,122600,2004-05-21,11:00:00,2004-05-26,21:00:00
111,ECAR,Southeast Michigan,Severe Thunderstorms,630,"Greater than 250,000",2004-05-21,16:00:00,2004-05-24,20:00:00
112,MAAC,"Western Pennsylvania, Northern West Virginia, Western Maryland, Northern Virginia",High Winds and Heavy Rains,"60 at peak, ","94,366 at peak, ",2004-05-21,05:30:00,2004-05-25,00:00:00
113,FRCC ,"Florida counties of Gadsden, Wakulla, Leon, and Liberty",Public Appeals,0,0,2004-05-28,12:00:00,2004-05-31,00:00:00
114,FRCC,"Florida counties of Gadsden, Wakulla, Leon, and Liberty",Public Appeals,0,0,2004-05-28,12:00:00,2004-05-31,00:00:00
115,FRCC,"Florida counties of Gadsden, Wakulla, Leon, and Liberty",Public Appeals ,0,0,2004-05-28,12:00:00,2004-05-31,00:00:00
116,ERCOT,"Collin, Dallas, Denton, Ellis, Parker, and Tarrant Counties, Texas ",Severe Storms with Strong Winds,1900,500000,2004-06-01,17:00:00,2004-06-02,01:00:00
117,ECAR,"Shreveport, Louisiana",Severe  Thunderstorms with Strong Winds,350,59057,2004-06-02,01:46:00,2004-06-07,16:00:00
118,ECAR,"Tulsa, Oklahoma",Severe Thunderstorms with Strong Winds,280,56874,2004-06-02,02:35:00,2004-06-06,18:00:00
119,MAPP,"Lincoln, Nebraska",Tornado,428,120212,2004-06-12,17:37:00,2004-06-12,17:41:00
120,WECC ,"Phoenix, Arizona",Fault on Line,200,30000,2004-06-14,07:41:00,2004-06-14,14:39:00
121,SERC,Georgia and Alabama,Thunderstorms,50,50595,2004-06-23,19:00:00,2004-06-23,20:00:00
122,WECC,Southern Idaho,Load Shedding,157,35000,2004-06-23,17:35:00,2004-06-23,19:10:00
123,WECC,"Metro Phoenix, Arizona",Fire/Substation Multiple Public Appeals,-,-,2004-07-06,06:00:00,2004-08-09,12:00:00
124,WECC ,"Metro Phoenix, Arizona",Fire/Substation Multiple Public Appeals,-,-,2004-07-06,06:00:00,2004-08-09,12:00:00
125,SERC,Central Virginia,Severe Thunderstorms,120,88110,2004-07-07,13:30:00,2004-07-07,23:54:00
126,FRCC,"Leon  County, Florida",Units Tripped,283,42124,2004-07-13,13:34:00,2004-07-13,17:15:00
127,ECAR,"West, West Central and Southern Indiana",Severe Thunderstorms,600,135000,2004-07-13,16:30:00,2004-07-17,08:00:00
128,PR,"Regions of  San Juan, Caguas, Ponce, Bayamon, Carolina, Arecibo and Mayaguez",Wildfire,200,61624,2004-07-20,15:44:00,2004-07-20,17:51:00
129,WECC,"Soledad Canyon near Acton, California",Wildfire/Shed Interruptible Load,214,-,2004-07-20,14:26:00,2004-07-21,02:00:00
130,MAIN,"Chicago, Illinois",Severe Thunderstorms,Approx. 200,200000,2004-07-21,17:30:00,2004-07-22,19:00:00
131,SPP,Southwest Louisiana in the Acadia Parish vicinity,Public Appeal  ,-,-,2004-07-24,15:45:00,2004-07-25,21:00:00
132,SERC,"Georgia, Alabama, Florida panhandle, Southern Mississippi",Severe Storms,61,61004,2004-07-25,22:00:00,2004-07-25,23:00:00
133,SPP,Southeast Texas,Unplanned Generator Outage/High Loads Made Public Appeal,-,-,2004-08-02,10:00:00,2004-08-02,20:00:00
134,MAIN,Northern Illinois,Severe Storm,127,127000,2004-08-03,21:00:00,2004-08-04,07:00:00
135,WECC,"Northwest Orange County, California",Fault at Barre Substation,480,182000,2004-08-04,12:46:00,2004-08-04,13:50:00
136,PR,Whole Island of Puerto Rico,Two Large Units Tripped,451.7,259478,2004-08-09,08:23:00,2004-08-09,11:10:00
137,FRCC,"Eastern Hillsborough, Polk County, Florida",Hurricane Charley,250,78000,2004-08-13,16:43:00,2004-08-13,20:24:00
138,FRCC ,"Florida counties of Collier, Hendry, Glades, Highlands, Charlotte, Desoto, Lee, Hardee, and Polk",Hurricane Charley,700,200000,2004-08-13,13:30:00,2004-08-13,00:00:00
139,FRCC,"Florida counties of Hardee, Highlands, Lake, Orange, Osceola, Polk, Seminole, Volusia",Hurricane Charley,1300,502000,2004-08-13,08:00:00,2004-08-23,00:00:00
140,FRCC,"New Smyrna Beach, Florida",Hurricane Charley,65,23000,2004-08-13,22:04:00,2004-08-14,16:23:00
141,FRCC,West Coast of Florida from Naples to Charlotte and in an area centered around Daytona Beach,Hurricane Charley,1400,1200000,2004-08-13,15:00:00,2004-08-13,23:00:00
142,SERC,Central and Eastern North Carolina and Northern and Eastern South Carolina,Hurricane Charley,500,94000,2004-08-14,13:00:00,2004-08-14,23:00:00
143,NPCC,"Boston, Massachusetts",Major Transmission Line Tripped due to Lightning Strike,22700,380000,2004-08-20,15:31:00,2004-08-20,21:45:00
144,SERC,Southeastern South Carolina,Tropical Storm Gaston,450,125000,2004-08-29,09:52:00,2004-08-29,18:00:00
145,SERC,"Central Virginia, South to North Carolina and East to the Virginia Coast",Tropical Storm Gaston,150,99816,2004-08-30,18:58:00,2004-08-31,15:35:00
146,FRCC,"City of Fort Pierce, Florida",Hurricane Frances,125,26000,2004-09-03,21:00:00,2004-09-05,14:00:00
147,FRCC,"Hillsborough, Pasco, and Polk County, Florida",Hurricane Frances,1100,268000,2004-09-04,10:00:00,2004-09-12,19:00:00
148,FRCC,"West Palm Beach to Daytona Beach, Florida",Hurricane Frances,6000,2775093,2004-09-04,08:00:00,2004-09-06,08:00:00
149,FRCC,"Florida counties of Alachua, Citrus, Columbia, Dixie, Franklin, Gilchrist, Gulf, Hamilton, Hardee, Hernando, Highlands, Jefferson, Lafayette, Lake, Levy, Madison, Marion, Orange, Osceola, Pasco, Pinellas, Polk, Seminole, Sumter, Suwannee, Taylor, Volusia and Wakulla",Hurricane Frances,2100,832898,2004-09-05,07:00:00,2004-09-12,00:00:00
150,FRCC,"Orlando, Florida",Hurricane Frances,200,65000,2004-09-05,01:00:00,2004-09-09,17:00:00
151,SERC,"Florida, Mississippi, Alabama, Georgia",Hurricane Frances,3000,99000,2004-09-06,13:00:00,2004-09-09,12:00:00
152,SERC,Georgia,Hurricane Frances,2200,150000,2004-09-07,10:00:00,2004-09-08,12:00:00
153,SERC,"Florida, Mississippi, Alabama, Georgia",Hurricane Ivan,916,916316,2004-09-15,19:00:00,2004-09-17,19:00:00
154,PR,Whole Island of Puerto Rico,Hurricane Jeanne,1243,1423590,2004-09-15,12:04:00,2004-09-23,12:00:00
155,SERC,"Baldwin County, Alabama, Escambia County, Florida, Washington County, Alabama",Hurricane Ivan,263,75000,2004-09-16,02:00:00,2004-09-16,10:02:00
156,SERC,Western  North and South Carolina,Hurricane Ivan,500,175000,2004-09-16,21:00:00,2004-09-20,16:00:00
157,SERC,Western North Carolina,Hurricane Ivan,400,112000,2004-09-17,04:30:00,2004-09-18,12:00:00
158,FRCC,"City of Fort Pierce, Florida",Hurricane Jeanne,125,26000,2004-09-25,17:00:00,2004-09-26,09:00:00
159,FRCC,"Florida counties of Alachua, Bay, Brevard, Citrus, Columbia, Dixie, Flagler, Franklin, Gilchrist, Gulf, Hamilton, Hardee, Hernando, Highlands, Hillsborough, Jefferson, Lafayette, Lake, Leon, Levy, Madison, Marion, Orange, Osceola, Pasco, Pinellas, Polk, Seminole, Sumter, Suwannee, Taylor, Volusia and Wakulla",Hurricane Jeanne,1800,722000,2004-09-26,06:00:00,2004-10-01,00:00:00
160,FRCC,"Hillsborough, Pasco, and Polk County, Florida",Hurricane Jeanne,1250,285300,2004-09-26,02:00:00,2004-09-27,00:00:00
161,FRCC,"Orlando and St. Cloud, Florida",Hurricane Jeanne,350,110000,2004-09-26,03:00:00,2004-09-30,09:00:00
162,SERC,Georgia,Hurricane Jeanne,854,85455,2004-09-27,08:00:00,2004-09-27,14:00:00
163,NPCC,Nova Scotia,Switch Error Concerning Breakers,-,-,2004-09-27,16:06:00,2004-09-27,16:12:00
164,PR,Island Wide,Breaker Failure,All,All,2004-10-10,17:09:00,2004-10-11,19:57:00
165,WECC,Northern California,Severe Storm with High Wind Gusts,140,407440,2004-10-18,22:30:00,2004-10-20,09:00:00
166,SPP,Southeastern Louisiana in the New Orleans area,Public Appeal/Breaker Failure and Fire,-,-,2004-10-25,11:00:00,2004-10-26,10:00:00
167,WECC,"San  Jose, California",Major Transmission Distribution System Interruption,103,59458,2004-10-28,15:27:00,2004-10-28,18:08:00
168,ECAR,"Lower peninsula of Michigan. following area:  Grand Rapids, Kalamazoo, Battle Creek, Greenville, Jackson,  Flint, Lansing, Allegan, Temperance",Severe Storm with High Wind Gusts,60,122000,2004-10-30,10:00:00,2004-11-01,18:00:00
169,ECAR,Southeastern Michigan,High Wind Gusts,700,159870,2004-10-30,12:30:00,2004-11-03,13:50:00
170,NPCC,"Sayreville, New Jersey Long Island, New York",Fuel Supply Deficiency - Williams Company: Event for Trans Continental Gas Pipeline,0,0,2004-11-09,14:15:00,2004-11-12,13:07:00
171,NPCC,Nova Scotia ,"Heavy Snow, High Winds and Rain/Major Distribution System Interruption",165,165000,2004-11-14,04:55:00,2004-11-15,01:31:00
172,ERCOT,"Houston, Texas and surrounding suburban areas",Strong Thunderstorms,150,119000,2004-11-23,22:00:00,2004-11-24,01:00:00
173,SERC,Georgia,Strong Thunderstorms,100,83450,2004-11-24,10:00:00,2004-11-24,16:00:00
174,MAAC,"Bucks, Chester, Delaware, Montgomery, and Philadelphia Counties, Pennsylvania",Heavy Rain and Wind Storm,-,105312,2004-12-01,07:30:00,2004-12-02,22:09:00
175, MAAC,"Central Maryland (Baltimore City, Baltimore County, Anne Arundel County, Hartford County, Montgomery County, Calvert County, Prince George's County, Carroll County and Howard County)",High Winds,270,122000,2004-12-01,10:00:00,2004-12-02,23:59:00
176,ECAR,Columbus District,Major Freezing Rain and Ice Storm,800,359171,2004-12-23,03:37:00,2004-12-31,23:00:00
177,WECC,"Salinas, California and surrounding communities",Severe Weather/Line Relayed,100,95000,2004-12-27,07:50:00,2004-12-27,10:50:00
178,SPP,Eastern one third of the state of Kansas,Winter Storm,200,211000,2005-01-04,18:00:00,2005-01-14,12:00:00
179,ECAR,Akron and Mansfield areas,Ice Storm,250,246990,2005-01-05,16:00:00,2005-01-13,18:00:00
180,ECAR,Indiana Michigan Region - Muncie District,Winter Ice Storm,545,114791,2005-01-05,21:10:00,2005-01-16,11:00:00
181,WECC,Northern California,Winter Storm,120,442000,2005-01-07,13:00:00,2005-01-10,08:00:00
182,PR,Island of Puerto Rico,Voltage Reduction,140,,2005-01-23,10:42:00,2005-01-23,11:24:00
183,PR,Island of Puerto Rico,Voltage Reduction/Shed Load,225,70717,2005-01-24,06:38:00,2005-01-24,06:50:00
184,PR,Island of Puerto Rico,Voltage Reduction/Shed Load,385,,2005-01-24,12:27:00,2005-01-24,12:34:00
185,SERC,Georgia,Ice Storm,65 to 100,82000,2005-01-29,16:00:00,2005-01-30,15:00:00
186,SERC,Parts of Alabama and Georgia,Ice Storm,100,150000,2005-01-29,10:00:00,2005-01-31,10:00:00
187,PR,Island of Puerto Rico,Voltage Reduction,460,,2005-02-01,17:58:00,2005-02-01,18:01:00
188,PR,Island of Puerto Rico,Generator Loss,380,,2005-02-15,13:12:00,2005-02-15,13:30:00
189,PR,Island of Puerto Rico,Load Shedding,325,139438,2005-02-16,13:26:00,2005-02-16,13:43:00
190,PR,Island of Puerto Rico,Generator Loss/Voltage Reduction,648,372288,2005-02-18,08:16:00,2005-02-18,08:41:00
191,PR,Island of Puerto Rico,Voltage Reduction,200,,2005-02-24,00:58:00,2005-02-24,01:05:00
192,SERC,Eastern and Central North Carolina,Wind Storms,180,51600,2005-03-08,11:00:00,2005-03-08,15:00:00
193,ECAR,"Cleveland, Ohio and northeast Ohio ",Winter Storm,,211000,2005-04-01,00:00:00,2005-04-06,12:00:00
194,WECC,"San Francisco Bay area, California",Lightning Strike,126,PG&E,2005-04-22,15:51:00,2005-04-22,15:59:00
195,ECAR,"Cleveland, Ohio and northeast Ohio ",Winter Storm,,150000,2005-04-23,06:00:00,2005-04-27,06:00:00
196,PR,Island of Puerto Rico,Voltage Reduction,345,116552,2005-04-23,04:22:00,2005-04-23,04:48:00
197,SERC,Alabama and Georgia,Thunderstorms,100,51808,2005-04-30,08:00:00,2005-04-30,10:00:00
198,ERCOT,"Houston, Texas and surrounding suburban areas",Strong Thunderstorms,672,243000,2005-05-08,15:00:00,2005-05-08,22:00:00
199,PR,Island of Puerto Rico,Voltage Reduction,529,,2005-05-11,19:00:00,2005-05-11,20:31:00
200,ERCOT,"Houston, Texas and surrounding suburban areas",Strong Thunderstorms,328,123000,2005-05-29,20:00:00,2005-05-30,02:30:00
201,ECAR,Portions of  the southern 2/3 of  Michigan's Lower Peninsula,Strong Thunderstorm,50-60 ,105000,2005-06-05,14:00:00,2005-06-07,18:00:00
202,ECAR,Southeast  Michigan,Strong Thunderstorm/High Winds,1826,201580,2005-06-05,14:00:00,2005-06-10,07:30:00
203,MAAC,"Bucks, Montgomery, Delaware, Chester, Philadelphia counties, Pennsylvania",Strong Thunderstorm,,143000,2005-06-06,16:43:00,2005-06-07,22:00:00
204,NPCC,Central/Eastern New York state,Strong Thunderstorms,,65000,2005-06-06,12:00:00,2005-06-08,18:00:00
205,MRO,Minnesota,Strong Thunderstorm,50-100,300000,2005-06-08,04:00:00,2005-06-10,22:00:00
206,PR,Island of Puerto Rico,Voltage Reduction,35,600000,2005-06-20,11:16:00,2005-06-20,17:15:00
