Index, NERC Region,Area Affected,Event Type,Demand Loss (MW),Number of Customers Affected ,Date Event Began,Time Event Began,Date of Restoration,Time of Restoration
3654,SERC,"Florida: Alachua County, Bay County, Citrus County, Columbia County, Dixie County, Franklin County, Gilchrist County, Gulf County, Hamilton County, Hardee County, Hernando County, Highlands County, Jefferson County, Lafayette County, Lake County, Levy County, Madison County, Marion County, Orange County, Osceola County, Pasco County, Pinellas County, Polk County, Seminole County, Sumter County, Suwannee County, Taylor County, Volusia County, Wakulla County;",Severe Weather,Unknown,160000,2022-11-10,06:00:00,2022-11-11,08:47:00
3655,TRE,Texas: Montgomery County;,System Operations,67,Unknown,2021-11-11,05:52:00,2021-11-11,06:09:00
3656,WECC,California: San Bernardino County;,Vandalism,Unknown,Unknown,2022-11-11,01:00:00,2022-11-11,05:00:00
3657,RF,Ohio: Knox County;,Actual Physical Attack/Vandalism,7,1775,2022-11-11,01:41:00,2022-11-14,14:00:00
3658,WECC,Oregon: Multnomah County; Washington: Idaho: Utah: Wyoming:,Vandalism,0,0,2021-11-12,07:00:00,2021-11-12,07:14:00
3659,WECC,Washington: King County;,Severe Weather,85,68430,2017-11-13,16:33:00,2017-11-16,06:00:00
3660,WECC,"Washington: Island County, King County, Kitsap County, Thurston County, Skagit County, Whatcom County;",Severe Weather,Unknown,236100,2017-11-13,02:00:00,2017-11-15,08:17:00
3661,SPP RE,Arkansas: Oklahoma: Louisiana: Texas:,System Operations,0,0,2018-11-13,18:19:00,2018-11-13,19:40:00
3662,WECC,Washington: Snohomish County;,System Operations,0,0,2020-11-13,00:20:00,2020-11-13,08:00:00
3663,WECC,California: San Bernardino County;,Fuel Supply Deficiency,0,0,2020-11-14,07:40:00,,
3664,RF,Virginia: West Virginia:,Severe Weather,Unknown,50600,2018-11-15,10:50:00,2018-11-17,13:12:00
3665,SERC,Kentucky:,Severe Weather,Unknown,150000,2018-11-15,03:23:00,2018-11-15,17:35:00
3666,RF,Indiana:,Severe Weather,Unknown,55000,2018-11-15,05:28:00,2018-11-15,08:35:00
3667,SERC,Kentucky: Ohio:,Severe Weather,Unknown,104000,2018-11-15,05:38:00,2018-11-16,06:00:00
3668,RF,Ohio:,Severe Weather,Unknown,123361,2020-11-15,15:08:00,2020-11-15,22:30:00
3669,RF,Ohio:,Severe Weather,Unknown,96809,2020-11-15,14:52:00,2020-11-16,05:59:00
3670,RF,"Michigan: Huron County, Livingston County, Macomb County, Monroe County, Wayne County, Washtenaw County, Tuscola County, St. Clair County, Lapeer County, Oakland County;",Severe Weather,Unknown,150000,2020-11-15,12:30:00,2020-11-18,09:44:00
